# {'model': 'gpt2', 'layer': 5, 'hook': 'transformer.h[5].mlp.act', 'm': 3072, 'vocab': 50257, 'device': 'cuda'}
neuron	bos_act	exp_wins	imp_r_wins	imp_i_wins	exp_max	imp_max_all	imp_max_last
91	-0.006161	0	0	0	-0.005239	2.081837	2.081837
92	-0.034256	0	0	0	-0.031326	2.114915	2.114915
93	-0.097628	0	0	0	-0.095373	1.032486	1.032486
94	-0.052903	0	0	0	-0.050157	0.540700	0.540700
95	0.010325	0	0	0	0.014364	0.625792	0.625792
96	-0.066913	0	0	0	-0.066154	2.105974	2.105974
97	0.181288	0	0	0	0.205783	0.823345	0.823345
98	-0.091983	0	0	0	-0.088955	2.119561	2.119561
99	-0.000001	0	0	0	-0.000001	0.292308	0.292308
100	-0.065010	0	0	0	-0.055750	0.805655	0.805655
101	-0.062868	0	0	0	-0.058194	2.470387	2.470387
102	-0.129060	0	1	1	-0.127261	2.720570	2.720570
103	-0.145399	0	0	0	-0.141926	1.794974	1.794974
104	-0.110191	0	0	0	-0.106651	0.480349	0.480349
105	-0.040964	0	0	0	-0.039990	0.595198	0.595198
106	0.068284	0	0	0	0.086579	1.117899	1.117899
107	-0.020486	0	0	0	-0.018257	1.253984	1.253984
108	0.380245	0	0	0	0.402372	1.603956	1.603956
109	-0.098380	0	0	0	-0.095856	0.981918	0.981918
110	-0.044273	0	0	0	-0.041242	2.197379	2.197379
111	0.325196	0	0	0	0.337755	1.045048	1.045048
112	0.027873	0	0	0	0.030895	0.648998	0.648998
113	0.319038	0	0	1	0.345728	2.231628	2.231628
114	-0.027365	0	0	0	-0.024446	2.308115	2.308115
115	0.110953	0	0	0	0.120883	1.413439	1.413439
116	-0.053196	0	0	0	-0.050997	1.364137	1.364137
117	-0.014388	0	0	0	-0.012614	2.240122	2.240122
118	0.571514	0	0	0	0.601602	1.735423	1.735423
119	0.127724	0	0	0	0.133369	0.636994	0.636994
120	0.340881	0	0	0	0.358697	0.768943	0.768943
121	-0.105582	0	0	0	-0.101078	2.749496	2.749496
122	-0.037371	0	0	0	-0.031957	0.807194	0.807194
123	-0.044126	0	0	0	-0.041588	0.625509	0.625509
124	-0.039007	0	0	0	-0.036441	0.194674	0.194674
125	0.475351	0	0	0	0.506564	0.736461	0.736461
126	-0.062217	0	0	0	-0.058009	1.238864	1.238864
127	-0.089285	0	0	0	-0.085010	1.273643	1.273643
128	0.056967	0	0	0	0.078730	1.381593	1.381593
129	-0.033228	0	0	0	-0.030783	0.642407	0.642407
130	-0.042313	0	0	0	-0.036412	1.704454	1.704454
131	-0.023578	0	0	0	-0.021130	1.227204	1.227204
132	-0.013817	0	1	2	-0.011987	2.661233	2.661233
133	0.003996	0	0	0	0.024181	1.970472	1.970472
134	-0.045356	0	0	0	-0.041924	0.548010	0.548010
135	-0.101817	0	0	0	-0.099226	1.912118	1.912118
136	0.242783	0	0	0	0.255430	0.931255	0.931255
137	-0.039904	0	0	0	-0.036512	2.192115	2.192115
138	0.341311	0	0	0	0.364061	0.915759	0.915759
139	-0.006951	0	0	0	-0.005544	0.609690	0.609690
140	0.298105	0	0	0	0.320357	1.203839	1.203839
141	-0.020651	0	0	0	-0.018388	0.415637	0.415637
142	0.051127	0	0	0	0.069446	1.577521	1.577521
143	-0.056034	0	0	0	-0.053738	2.502741	2.502741
144	0.111718	0	0	0	0.126830	0.446173	0.446173
145	-0.168711	0	0	0	-0.167067	1.092359	1.092359
146	-0.027976	0	0	0	-0.012288	1.051509	1.051509
147	-0.052126	0	0	0	-0.049437	0.838816	0.838816
148	-0.103083	0	0	0	-0.094214	0.689043	0.689043
149	-0.000085	0	0	0	-0.000064	0.862529	0.862529
150	0.187304	0	0	0	0.197021	1.361542	1.361542
151	0.582695	0	0	0	0.612059	1.113410	1.113410
152	0.381154	0	0	0	0.409670	1.609224	1.609224
153	-0.004464	0	0	0	-0.003475	0.835585	0.835585
154	-0.027028	0	0	0	-0.023999	1.735387	1.735387
155	-0.014970	0	0	0	-0.013129	0.285129	0.285129
156	0.355896	0	0	0	0.368724	1.082974	1.082974
157	-0.032608	0	0	0	-0.029557	0.962111	0.962111
158	0.106992	0	0	0	0.121403	0.773596	0.773596
159	0.296243	0	0	0	0.315272	1.057804	1.057804
160	-0.128196	0	0	0	-0.121878	0.983556	0.983556
161	-0.059406	0	0	0	-0.055399	1.316915	1.316915
