# generated_utc	2026-08-14T14:49:09+00:00
# script	probe_v4.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	88
string	bos	rho	n_tok	dest	delta	t_star	runner_up	peak_val	tokens	token_ids	peak_20	peakpos_20	peak_1430	peakpos_1430	peak_1888	peakpos_1888	peak_2256	peakpos_2256	prefix	prefix_dest	prefix_delta	prefix_agrees	block	carrier	incumbent	incumbent_val	pred_delta	signed_delta	pred_err	pred_sign_ok
by Mackinaw	1	R	4	1430	0.165464	3	20	3.027962	["by", " Mack", "in", "aw"]	[1525, 16640, 259, 707]	2.862498	3	3.027962	3	2.54509	1	2.36087	0	by Mackin	1430	0.165464	1	carriers	by	1888	2.54509	0.317408	-0.165464	-0.482872	0
by	1	R	1	1888	0.184219	1	2256	2.54509	["by"]	[1525]	-0.00705	0	-0.122657	0	2.54509	1	2.360871	0					carrier_alone	by						
for Mackinaw	1	R	4	20	0.358978	3	1430	3.20015	["for", " Mack", "in", "aw"]	[1640, 16640, 259, 707]	3.20015	3	2.841173	3	2.693015	2	2.36087	0	for Mackin	20	0.358978	1	carriers	for	1790	2.644286	0.555864	0.358978	-0.196886	1
for	1	R	1	1790	0.283415	1	2256	2.644286	["for"]	[1640]	-0.00705	0	-0.117766	1	2.283251	1	2.360871	0					carrier_alone	for						
with Mackinaw	1	R	4	20	0.312816	3	1430	3.131236	["with", " Mack", "in", "aw"]	[4480, 16640, 259, 707]	3.131236	3	2.81842	3	2.675416	1	2.36087	0	with Mackin	20	0.312816	1	carriers	with	1888	2.675414	0.455822	0.312816	-0.143006	1
with	1	R	1	1888	0.314543	1	2256	2.675414	["with"]	[4480]	-0.00705	0	-0.029245	1	2.675414	1	2.360871	0					carrier_alone	with						
into Mackinaw	1	R	4	20	0.449737	3	1430	3.254885	["into", " Mack", "in", "aw"]	[20424, 16640, 259, 707]	3.254885	3	2.805148	3	2.345483	2	2.36087	0	into Mackin	20	0.449737	1	carriers	into	1790	2.570504	0.684381	0.449737	-0.234644	1
into	1	R	1	1790	0.209633	1	2256	2.570504	["into"]	[20424]	-0.00705	0	-0.089187	1	2.037827	1	2.360871	0					carrier_alone	into						
upon Mackinaw	1	R	4	20	0.201931	3	1430	3.019979	["upon", " Mack", "in", "aw"]	[27287, 16640, 259, 707]	3.019979	3	2.818049	3	2.456438	2	2.36087	0	upon Mackin	20	0.201931	1	carriers	upon	1888	2.414281	0.605698	0.201931	-0.403767	1
upon	1	R	1	1888	0.05341	1	2256	2.414281	["upon"]	[27287]	-0.00705	0	-0.122657	0	2.414281	1	2.360871	0					carrier_alone	upon						
beyond Mackinaw	1	R	5	20	0.466247	4	1430	3.31108	["be", "yond", " Mack", "in", "aw"]	[1350, 3243, 16640, 259, 707]	3.31108	4	2.844833	4	2.609819	3	2.36087	0	beyond Mackin	20	0.466248	1	carriers	beyond	1790	2.782547	0.528533	0.466247	-0.062286	1
beyond	1	R	2	1790	0.206193	1	1888	2.782547	["be", "yond"]	[1350, 3243]	-0.00705	0	-0.040315	2	2.576354	1	2.360871	0					carrier_alone	beyond						
island Mackinaw	1	R	5	20	0.506592	4	1430	3.112056	["is", "land", " Mack", "in", "aw"]	[271, 1044, 16640, 259, 707]	3.112056	4	2.605464	4	2.464652	1	2.36087	0	island Mackin	20	0.506592	1	carriers	island	1888	2.464648	0.647408	0.506592	-0.140816	1
