# generated_utc	2026-08-14T15:34:59+00:00
# script	probe_v6.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	108
seed_name	left_block	right_block	left_distinct	right_distinct	intersection_n	union_n	jaccard	intersection
mackinaw_20	C_LOCAL:rng=1	D_RANDOM_TOKEN:rng=1	9	6	3	12	0.25	281 1790 1888
mackinaw_20	C_LOCAL:rng=1	D_RANDOM_TOKEN:rng=2	9	4	3	10	0.3	858 1790 1888
mackinaw_20	C_LOCAL:rng=1	E_CONTINUATION	9	7	2	14	0.14285714285714285	20 1790
mackinaw_20	C_LOCAL:rng=2	D_RANDOM_TOKEN:rng=0	14	6	3	17	0.17647058823529413	858 1790 1888
mackinaw_20	C_LOCAL:rng=2	D_RANDOM_TOKEN:rng=1	14	6	3	17	0.17647058823529413	281 1790 1888
mackinaw_20	C_LOCAL:rng=2	D_RANDOM_TOKEN:rng=2	14	4	3	15	0.2	858 1790 1888
mackinaw_20	C_LOCAL:rng=2	E_CONTINUATION	14	7	3	18	0.16666666666666666	20 1430 1790
mackinaw_20	D_RANDOM_TOKEN:rng=0	D_RANDOM_TOKEN:rng=1	6	6	2	10	0.2	1790 1888
mackinaw_20	D_RANDOM_TOKEN:rng=0	D_RANDOM_TOKEN:rng=2	6	4	3	7	0.42857142857142855	858 1790 1888
mackinaw_20	D_RANDOM_TOKEN:rng=0	E_CONTINUATION	6	7	1	12	0.08333333333333333	1790
mackinaw_20	D_RANDOM_TOKEN:rng=1	D_RANDOM_TOKEN:rng=2	6	4	2	8	0.25	1790 1888
mackinaw_20	D_RANDOM_TOKEN:rng=1	E_CONTINUATION	6	7	1	12	0.08333333333333333	1790
mackinaw_20	D_RANDOM_TOKEN:rng=2	E_CONTINUATION	4	7	1	10	0.1	1790
robin_281	A_CARRIER	B_GATE	9	13	4	18	0.2222222222222222	281 1790 1888 2256
robin_281	A_CARRIER	C_LOCAL:rng=0	9	6	4	11	0.36363636363636365	281 1790 1888 2256
robin_281	A_CARRIER	C_LOCAL:rng=1	9	11	4	16	0.25	281 1790 1888 2256
robin_281	A_CARRIER	C_LOCAL:rng=2	9	8	4	13	0.3076923076923077	281 1790 1888 2256
robin_281	A_CARRIER	D_RANDOM_TOKEN:rng=0	9	6	2	13	0.15384615384615385	1790 1888
robin_281	A_CARRIER	D_RANDOM_TOKEN:rng=1	9	3	3	9	0.3333333333333333	281 1790 1888
robin_281	A_CARRIER	D_RANDOM_TOKEN:rng=2	9	6	2	13	0.15384615384615385	1790 1888
robin_281	A_CARRIER	E_CONTINUATION	9	4	3	10	0.3	281 1790 2256
robin_281	B_GATE	C_LOCAL:rng=0	13	6	4	15	0.26666666666666666	281 1790 1888 2256
robin_281	B_GATE	C_LOCAL:rng=1	13	11	5	19	0.2631578947368421	281 858 1790 1888 2256
robin_281	B_GATE	C_LOCAL:rng=2	13	8	4	17	0.23529411764705882	281 1790 1888 2256
robin_281	B_GATE	D_RANDOM_TOKEN:rng=0	13	6	3	16	0.1875	1790 1888 2874
robin_281	B_GATE	D_RANDOM_TOKEN:rng=1	13	3	3	13	0.23076923076923078	281 1790 1888
robin_281	B_GATE	D_RANDOM_TOKEN:rng=2	13	6	3	16	0.1875	858 1790 1888
robin_281	B_GATE	E_CONTINUATION	13	4	3	14	0.21428571428571427	281 1790 2256
robin_281	C_LOCAL:rng=0	C_LOCAL:rng=1	6	11	4	13	0.3076923076923077	281 1790 1888 2256
robin_281	C_LOCAL:rng=0	C_LOCAL:rng=2	6	8	4	10	0.4	281 1790 1888 2256
robin_281	C_LOCAL:rng=0	D_RANDOM_TOKEN:rng=0	6	6	2	10	0.2	1790 1888
robin_281	C_LOCAL:rng=0	D_RANDOM_TOKEN:rng=1	6	3	3	6	0.5	281 1790 1888
robin_281	C_LOCAL:rng=0	D_RANDOM_TOKEN:rng=2	6	6	2	10	0.2	1790 1888
robin_281	C_LOCAL:rng=0	E_CONTINUATION	6	4	3	7	0.42857142857142855	281 1790 2256
robin_281	C_LOCAL:rng=1	C_LOCAL:rng=2	11	8	5	14	0.35714285714285715	281 1790 1888 1898 2256
robin_281	C_LOCAL:rng=1	D_RANDOM_TOKEN:rng=0	11	6	3	14	0.21428571428571427	1790 1888 1898
robin_281	C_LOCAL:rng=1	D_RANDOM_TOKEN:rng=1	11	3	3	11	0.2727272727272727	281 1790 1888
robin_281	C_LOCAL:rng=1	D_RANDOM_TOKEN:rng=2	11	6	4	13	0.3076923076923077	858 1594 1790 1888
robin_281	C_LOCAL:rng=1	E_CONTINUATION	11	4	3	12	0.25	281 1790 2256
robin_281	C_LOCAL:rng=2	D_RANDOM_TOKEN:rng=0	8	6	3	11	0.2727272727272727	1790 1888 1898
robin_281	C_LOCAL:rng=2	D_RANDOM_TOKEN:rng=1	8	3	3	8	0.375	281 1790 1888
robin_281	C_LOCAL:rng=2	D_RANDOM_TOKEN:rng=2	8	6	2	12	0.16666666666666666	1790 1888
robin_281	C_LOCAL:rng=2	E_CONTINUATION	8	4	3	9	0.3333333333333333	281 1790 2256
robin_281	D_RANDOM_TOKEN:rng=0	D_RANDOM_TOKEN:rng=1	6	3	2	7	0.2857142857142857	1790 1888
robin_281	D_RANDOM_TOKEN:rng=0	D_RANDOM_TOKEN:rng=2	6	6	3	9	0.3333333333333333	464 1790 1888
robin_281	D_RANDOM_TOKEN:rng=0	E_CONTINUATION	6	4	1	9	0.1111111111111111	1790
robin_281	D_RANDOM_TOKEN:rng=1	D_RANDOM_TOKEN:rng=2	3	6	2	7	0.2857142857142857	1790 1888
robin_281	D_RANDOM_TOKEN:rng=1	E_CONTINUATION	3	4	2	5	0.4	281 1790
robin_281	D_RANDOM_TOKEN:rng=2	E_CONTINUATION	6	4	1	9	0.1111111111111111	1790
cold_38	A_CARRIER	B_GATE	10	11	3	18	0.16666666666666666	38 1790 1888
cold_38	A_CARRIER	C_LOCAL:rng=0	10	4	3	11	0.2727272727272727	1790 1888 2761
cold_38	A_CARRIER	C_LOCAL:rng=1	10	8	3	15	0.2	1790 1888 2761
cold_38	A_CARRIER	C_LOCAL:rng=2	10	4	3	11	0.2727272727272727	1790 1888 2761
cold_38	A_CARRIER	D_RANDOM_TOKEN:rng=0	10	6	2	14	0.14285714285714285	1790 1888
cold_38	A_CARRIER	D_RANDOM_TOKEN:rng=1	10	3	2	11	0.18181818181818182	1790 1888
cold_38	A_CARRIER	D_RANDOM_TOKEN:rng=2	10	6	2	14	0.14285714285714285	1790 1888
cold_38	A_CARRIER	E_CONTINUATION	10	6	3	13	0.23076923076923078	38 1790 1888
cold_38	B_GATE	C_LOCAL:rng=0	11	4	2	13	0.15384615384615385	1790 1888
cold_38	B_GATE	C_LOCAL:rng=1	11	8	3	16	0.1875	858 1790 1888
cold_38	B_GATE	C_LOCAL:rng=2	11	4	2	13	0.15384615384615385	1790 1888
cold_38	B_GATE	D_RANDOM_TOKEN:rng=0	11	6	3	14	0.21428571428571427	1790 1888 2874
cold_38	B_GATE	D_RANDOM_TOKEN:rng=1	11	3	2	12	0.16666666666666666	1790 1888
cold_38	B_GATE	D_RANDOM_TOKEN:rng=2	11	6	3	14	0.21428571428571427	858 1790 1888
cold_38	B_GATE	E_CONTINUATION	11	6	3	14	0.21428571428571427	38 1790 1888
cold_38	C_LOCAL:rng=0	C_LOCAL:rng=1	4	8	3	9	0.3333333333333333	1790 1888 2761
cold_38	C_LOCAL:rng=0	C_LOCAL:rng=2	4	4	3	5	0.6	1790 1888 2761
cold_38	C_LOCAL:rng=0	D_RANDOM_TOKEN:rng=0	4	6	2	8	0.25	1790 1888
cold_38	C_LOCAL:rng=0	D_RANDOM_TOKEN:rng=1	4	3	2	5	0.4	1790 1888
cold_38	C_LOCAL:rng=0	D_RANDOM_TOKEN:rng=2	4	6	2	8	0.25	1790 1888
cold_38	C_LOCAL:rng=0	E_CONTINUATION	4	6	2	8	0.25	1790 1888
cold_38	C_LOCAL:rng=1	C_LOCAL:rng=2	8	4	3	9	0.3333333333333333	1790 1888 2761
cold_38	C_LOCAL:rng=1	D_RANDOM_TOKEN:rng=0	8	6	3	11	0.2727272727272727	464 1790 1888
cold_38	C_LOCAL:rng=1	D_RANDOM_TOKEN:rng=1	8	3	2	9	0.2222222222222222	1790 1888
cold_38	C_LOCAL:rng=1	D_RANDOM_TOKEN:rng=2	8	6	5	9	0.5555555555555556	464 858 1594 1790 1888
cold_38	C_LOCAL:rng=1	E_CONTINUATION	8	6	3	11	0.2727272727272727	1594 1790 1888
cold_38	C_LOCAL:rng=2	D_RANDOM_TOKEN:rng=0	4	6	2	8	0.25	1790 1888
cold_38	C_LOCAL:rng=2	D_RANDOM_TOKEN:rng=1	4	3	2	5	0.4	1790 1888
cold_38	C_LOCAL:rng=2	D_RANDOM_TOKEN:rng=2	4	6	2	8	0.25	1790 1888
cold_38	C_LOCAL:rng=2	E_CONTINUATION	4	6	2	8	0.25	1790 1888
cold_38	D_RANDOM_TOKEN:rng=0	D_RANDOM_TOKEN:rng=1	6	3	2	7	0.2857142857142857	1790 1888
cold_38	D_RANDOM_TOKEN:rng=0	D_RANDOM_TOKEN:rng=2	6	6	3	9	0.3333333333333333	464 1790 1888
cold_38	D_RANDOM_TOKEN:rng=0	E_CONTINUATION	6	6	2	10	0.2	1790 1888
cold_38	D_RANDOM_TOKEN:rng=1	D_RANDOM_TOKEN:rng=2	3	6	2	7	0.2857142857142857	1790 1888
cold_38	D_RANDOM_TOKEN:rng=1	E_CONTINUATION	3	6	2	7	0.2857142857142857	1790 1888
cold_38	D_RANDOM_TOKEN:rng=2	E_CONTINUATION	6	6	3	9	0.3333333333333333	1594 1790 1888
