# generated_utc	2026-08-14T15:34:59+00:00
# script	probe_v6.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	108
seed_name	left_block	right_block	left_distinct	right_distinct	intersection_n	union_n	jaccard	intersection
mackinaw_20	A_CARRIER	B_GATE	5	13	3	15	0.2	20 1790 1888
mackinaw_20	A_CARRIER	C_LOCAL:rng=0	5	6	3	8	0.375	20 1790 1888
mackinaw_20	A_CARRIER	C_LOCAL:rng=1	5	9	3	11	0.2727272727272727	20 1790 1888
mackinaw_20	A_CARRIER	C_LOCAL:rng=2	5	14	4	15	0.26666666666666666	20 1430 1790 1888
mackinaw_20	A_CARRIER	D_RANDOM_TOKEN:rng=0	5	6	2	9	0.2222222222222222	1790 1888
mackinaw_20	A_CARRIER	D_RANDOM_TOKEN:rng=1	5	6	2	9	0.2222222222222222	1790 1888
mackinaw_20	A_CARRIER	D_RANDOM_TOKEN:rng=2	5	4	2	7	0.2857142857142857	1790 1888
mackinaw_20	A_CARRIER	E_CONTINUATION	5	7	3	9	0.3333333333333333	20 1430 1790
mackinaw_20	B_GATE	C_LOCAL:rng=0	13	6	5	14	0.35714285714285715	20 281 1790 1888 2256
mackinaw_20	B_GATE	C_LOCAL:rng=1	13	9	6	16	0.375	20 281 858 1790 1888 2256
mackinaw_20	B_GATE	C_LOCAL:rng=2	13	14	6	21	0.2857142857142857	20 281 858 1790 1888 2256
mackinaw_20	B_GATE	D_RANDOM_TOKEN:rng=0	13	6	3	16	0.1875	858 1790 1888
mackinaw_20	B_GATE	D_RANDOM_TOKEN:rng=1	13	6	3	16	0.1875	281 1790 1888
mackinaw_20	B_GATE	D_RANDOM_TOKEN:rng=2	13	4	3	14	0.21428571428571427	858 1790 1888
mackinaw_20	B_GATE	E_CONTINUATION	13	7	2	18	0.1111111111111111	20 1790
mackinaw_20	C_LOCAL:rng=0	C_LOCAL:rng=1	6	9	6	9	0.6666666666666666	20 281 1790 1888 1898 2256
mackinaw_20	C_LOCAL:rng=0	C_LOCAL:rng=2	6	14	6	14	0.42857142857142855	20 281 1790 1888 1898 2256
mackinaw_20	C_LOCAL:rng=0	D_RANDOM_TOKEN:rng=0	6	6	2	10	0.2	1790 1888
mackinaw_20	C_LOCAL:rng=0	D_RANDOM_TOKEN:rng=1	6	6	3	9	0.3333333333333333	281 1790 1888
mackinaw_20	C_LOCAL:rng=0	D_RANDOM_TOKEN:rng=2	6	4	2	8	0.25	1790 1888
mackinaw_20	C_LOCAL:rng=0	E_CONTINUATION	6	7	2	11	0.18181818181818182	20 1790
mackinaw_20	C_LOCAL:rng=1	C_LOCAL:rng=2	9	14	9	14	0.6428571428571429	20 281 858 978 1074 1790 1888 1898 2256
mackinaw_20	C_LOCAL:rng=1	D_RANDOM_TOKEN:rng=0	9	6	3	12	0.25	858 1790 1888
