# generated_utc	2026-08-14T15:34:59+00:00
# script	probe_v6.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	27
seed_name	seed_string	target_dest	branch	rng_seed	n_requested	n_evaluated	n_unique_strings	target_retained	retention_rate	distinct_destinations	distinct_per_evaluation	destination_entropy_bits	dominant_dest	dominant_n	dominant_share	median_delta	delta_q25	delta_q75	destination_counts	destinations	novel_against_reference	reference_id	novel_destinations
mackinaw_20	at Mackinaw	20	A_CARRIER	NA	60	60	60	49	0.8166666666666667	5	0.08333333333333333	0.960686148674378	20	49	0.8166666666666667	0.30495550000000005	0.1995055	0.39466975	{"20": 49, "1430": 1, "1790": 1, "1888": 2, "2073": 7}	20 1430 1790 1888 2073	NA	NA	NA
mackinaw_20	at Mackinaw	20	B_GATE	NA	60	60	60	1	0.016666666666666666	13	0.21666666666666667	2.5852686638699254	1888	21	0.35	0.110071	0.07935325	0.22754725	{"20": 1, "25": 1, "281": 4, "750": 1, "858": 1, "1787": 1, "1790": 8, "1888": 21, "1956": 1, "1970": 1, "2044": 1, "2256": 18, "2874": 1}	20 25 281 750 858 1787 1790 1888 1956 1970 2044 2256 2874	NA	NA	NA
mackinaw_20	at Mackinaw	20	E_CONTINUATION	NA	60	60	60	51	0.85	7	0.11666666666666667	0.9519957215994138	20	51	0.85	0.322105	0.322105	0.322105	{"20": 51, "1430": 1, "1581": 1, "1790": 4, "1821": 1, "2331": 1, "2594": 1}	20 1430 1581 1790 1821 2331 2594	NA	NA	NA
mackinaw_20	at Mackinaw	20	C_LOCAL	0	60	60	60	25	0.4166666666666667	6	0.1	2.223622118947293	20	25	0.4166666666666667	0.322105	0.08308875	0.34599399999999997	{"20": 25, "281": 4, "1790": 13, "1888": 9, "1898": 6, "2256": 3}	20 281 1790 1888 1898 2256	NA	NA	NA
mackinaw_20	at Mackinaw	20	D_RANDOM_TOKEN	0	60	60	60	0	0.0	6	0.1	0.9186623882660806	1888	51	0.85	0.4359275	0.22392175	0.65995675	{"464": 2, "858": 1, "1665": 1, "1790": 4, "1888": 51, "2467": 1}	464 858 1665 1790 1888 2467	NA	NA	NA
mackinaw_20	at Mackinaw	20	C_LOCAL	1	60	60	60	25	0.4166666666666667	9	0.15	2.420973016103023	20	25	0.4166666666666667	0.322105	0.18251675	0.396276	{"20": 25, "281": 2, "858": 2, "978": 1, "1074": 1, "1790": 12, "1888": 9, "1898": 6, "2256": 2}	20 281 858 978 1074 1790 1888 1898 2256	NA	NA	NA
mackinaw_20	at Mackinaw	20	D_RANDOM_TOKEN	1	60	60	60	0	0.0	6	0.1	1.0803072449113555	1888	47	0.7833333333333333	0.411398	0.2740905	0.69450575	{"195": 1, "281": 1, "693": 1, "812": 1, "1790": 9, "1888": 47}	195 281 693 812 1790 1888	NA	NA	NA
mackinaw_20	at Mackinaw	20	C_LOCAL	2	60	60	60	14	0.23333333333333334	14	0.23333333333333334	3.0014805351994385	1790	15	0.25	0.3106825	0.1016285	0.41537749999999996	{"20": 14, "281": 3, "652": 1, "858": 1, "978": 1, "1074": 1, "1158": 1, "1235": 1, "1426": 1, "1430": 1, "1790": 15, "1888": 11, "1898": 5, "2256": 4}	20 281 652 858 978 1074 1158 1235 1426 1430 1790 1888 1898 2256	NA	NA	NA
mackinaw_20	at Mackinaw	20	D_RANDOM_TOKEN	2	60	60	60	0	0.0	4	0.06666666666666667	0.7396821653122918	1888	52	0.8666666666666667	0.5770505	0.38747725	0.7534894999999999	{"858": 2, "1594": 1, "1790": 5, "1888": 52}	858 1594 1790 1888	NA	NA	NA
robin_281	at robin	281	A_CARRIER	NA	60	60	60	3	0.05	9	0.15	2.195460218867115	1888	28	0.4666666666666667	0.298536	0.1414475	0.49339375	{"281": 3, "1435": 1, "1613": 1, "1790": 13, "1888": 28, "2073": 10, "2154": 1, "2256": 2, "3052": 1}	281 1435 1613 1790 1888 2073 2154 2256 3052	NA	NA	NA
