# generated_utc	2026-08-14T15:32:51+00:00
# script	probe_v6.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	150
seed_name	target_dest	branch	rng_seed	n_evaluated	distinct_destinations	target_retained	retention_rate
mackinaw_20	20	A_CARRIER	NA	1	1	1	1.0
mackinaw_20	20	A_CARRIER	NA	2	1	2	1.0
mackinaw_20	20	A_CARRIER	NA	3	1	3	1.0
mackinaw_20	20	A_CARRIER	NA	4	1	4	1.0
mackinaw_20	20	A_CARRIER	NA	5	1	5	1.0
mackinaw_20	20	A_CARRIER	NA	6	1	6	1.0
mackinaw_20	20	A_CARRIER	NA	7	1	7	1.0
mackinaw_20	20	A_CARRIER	NA	8	1	8	1.0
mackinaw_20	20	A_CARRIER	NA	9	2	8	0.8888888888888888
mackinaw_20	20	A_CARRIER	NA	10	2	9	0.9
mackinaw_20	20	B_GATE	NA	1	1	1	1.0
mackinaw_20	20	B_GATE	NA	2	2	1	0.5
mackinaw_20	20	B_GATE	NA	3	3	1	0.3333333333333333
mackinaw_20	20	B_GATE	NA	4	4	1	0.25
mackinaw_20	20	B_GATE	NA	5	4	1	0.2
mackinaw_20	20	B_GATE	NA	6	5	1	0.16666666666666666
mackinaw_20	20	B_GATE	NA	7	5	1	0.14285714285714285
mackinaw_20	20	B_GATE	NA	8	5	1	0.125
mackinaw_20	20	B_GATE	NA	9	5	1	0.1111111111111111
mackinaw_20	20	B_GATE	NA	10	5	1	0.1
mackinaw_20	20	E_CONTINUATION	NA	1	1	1	1.0
mackinaw_20	20	E_CONTINUATION	NA	2	2	1	0.5
mackinaw_20	20	E_CONTINUATION	NA	3	2	2	0.6666666666666666
mackinaw_20	20	E_CONTINUATION	NA	4	2	3	0.75
mackinaw_20	20	E_CONTINUATION	NA	5	2	4	0.8
mackinaw_20	20	E_CONTINUATION	NA	6	2	5	0.8333333333333334
mackinaw_20	20	E_CONTINUATION	NA	7	2	6	0.8571428571428571
mackinaw_20	20	E_CONTINUATION	NA	8	2	7	0.875
mackinaw_20	20	E_CONTINUATION	NA	9	3	7	0.7777777777777778
mackinaw_20	20	E_CONTINUATION	NA	10	4	7	0.7
mackinaw_20	20	C_LOCAL	0	1	1	0	0.0
mackinaw_20	20	C_LOCAL	0	2	2	0	0.0
mackinaw_20	20	C_LOCAL	0	3	3	1	0.3333333333333333
mackinaw_20	20	C_LOCAL	0	4	3	2	0.5
mackinaw_20	20	C_LOCAL	0	5	3	3	0.6
mackinaw_20	20	C_LOCAL	0	6	3	4	0.6666666666666666
mackinaw_20	20	C_LOCAL	0	7	3	4	0.5714285714285714
mackinaw_20	20	C_LOCAL	0	8	3	5	0.625
mackinaw_20	20	C_LOCAL	0	9	3	5	0.5555555555555556
mackinaw_20	20	C_LOCAL	0	10	3	6	0.6
mackinaw_20	20	D_RANDOM_TOKEN	0	1	1	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	2	2	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	3	2	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	4	3	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	5	4	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	6	4	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	7	4	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	8	4	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	9	4	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	10	4	0	0.0
robin_281	281	A_CARRIER	NA	1	1	0	0.0
robin_281	281	A_CARRIER	NA	2	1	0	0.0
robin_281	281	A_CARRIER	NA	3	1	0	0.0
robin_281	281	A_CARRIER	NA	4	1	0	0.0
robin_281	281	A_CARRIER	NA	5	2	0	0.0
robin_281	281	A_CARRIER	NA	6	2	0	0.0
robin_281	281	A_CARRIER	NA	7	2	0	0.0
robin_281	281	A_CARRIER	NA	8	3	0	0.0
