# generated_utc	2026-08-14T14:56:01+00:00
# script	probe_v5.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	232
string	bos	rho	n_tok	dest	delta	t_star	runner_up	peak_val	tokens	token_ids	peak_20	peakpos_20	peak_1430	peakpos_1430	peak_1888	peakpos_1888	peak_2256	peakpos_2256	prefix	prefix_dest	prefix_delta	prefix_agrees	arm	canonical
they Mackinaw	1	R	4	20	0.42821	3	1430	3.059292	["they", " Mack", "in", "aw"]	[9930, 16640, 259, 707]	3.059292	3	2.631082	3	2.476814	2	2.36087	0	they Mackin	20	0.42821	1	A_carrier	1
past Mackinaw	1	R	4	20	0.40323	3	1430	3.295039	["past", " Mack", "in", "aw"]	[30119, 16640, 259, 707]	3.295039	3	2.891809	3	2.88693	1	2.36087	0	past Mackin	20	0.40323	1	A_carrier	1
under Mackinaw	1	R	4	20	0.287992	3	1430	3.22957	["under", " Mack", "in", "aw"]	[4625, 16640, 259, 707]	3.22957	3	2.941578	3	2.703155	2	2.36087	0	under Mackin	20	0.287992	1	A_carrier	1
aboard Mackinaw	1	R	5	20	0.202148	4	1430	3.111976	["ab", "oard", " Mack", "in", "aw"]	[397, 11953, 16640, 259, 707]	3.111976	4	2.909828	4	2.731459	1	2.36087	0	aboard Mackin	20	0.202146	1	A_carrier	1
left Mackinaw	1	R	4	20	0.361177	3	1430	3.30321	["left", " Mack", "in", "aw"]	[9464, 16640, 259, 707]	3.30321	3	2.942033	3	2.820196	2	2.36087	0	left Mackin	20	0.361177	1	A_carrier	1
toward Mackinaw	1	R	5	20	0.228716	4	1430	3.176432	["t", "oward", " Mack", "in", "aw"]	[83, 46138, 16640, 259, 707]	3.176432	4	2.947717	4	2.862757	1	2.36087	0	toward Mackin	20	0.228719	1	A_carrier	1
beside Mackinaw	1	R	5	20	0.364989	4	1888	3.298784	["bes", "ide", " Mack", "in", "aw"]	[12636, 485, 16640, 259, 707]	3.298784	4	2.666737	4	2.933795	1	2.36087	0	beside Mackin	20	0.36499	1	A_carrier	1
sailed Mackinaw	1	R	5	20	0.359278	4	945	3.23545	["s", "ailed", " Mack", "in", "aw"]	[82, 6255, 16640, 259, 707]	3.23545	4	2.706041	4	2.579563	1	2.36087	0	sailed Mackin	20	0.359278	1	A_carrier	1
whale Mackinaw	1	R	5	20	0.42266	4	1430	3.033663	["wh", "ale", " Mack", "in", "aw"]	[1929, 1000, 16640, 259, 707]	3.033663	4	2.611002	4	2.591117	1	2.36087	0	whale Mackin	20	0.422661	1	A_carrier	1
ship Mackinaw	1	R	4	1888	0.13095	1	20	3.211174	["ship", " Mack", "in", "aw"]	[6720, 16640, 259, 707]	3.080224	3	2.620921	3	3.211174	1	2.36087	0	ship	1888	0.690308	1	A_carrier	1
Michigan Mackinaw	1	R	4	20	0.076238	3	1888	3.273844	["Michigan", " Mack", "in", "aw"]	[40610, 16640, 259, 707]	3.273844	3	2.887732	3	3.197606	1	2.36087	0	Michigan Mackin	20	0.076238	1	A_carrier	1
Boston Mackinaw	1	R	4	1888	0.381785	1	20	3.629742	["Boston", " Mack", "in", "aw"]	[31710, 16640, 259, 707]	3.247957	3	2.799921	3	3.629742	1	2.36087	0	Boston	1888	1.268872	1	A_carrier	1
Iceland Mackinaw	1	R	5	1960	0.02524	2	20	3.383133	["Ice", "land", " Mack", "in", "aw"]	[23709, 1044, 16640, 259, 707]	3.357893	4	2.574421	4	3.332004	1	2.36087	0	Iceland	1960	0.051129	1	A_carrier	1
south Mackinaw	1	R	4	20	0.428953	3	1430	3.413322	["south", " Mack", "in", "aw"]	[35782, 16640, 259, 707]	3.413322	3	2.984369	3	2.765609	1	2.36087	0	south Mackin	20	0.428953	1	A_carrier	1
east Mackinaw	1	R	4	20	0.247181	3	1430	3.314194	["east", " Mack", "in", "aw"]	[23316, 16640, 259, 707]	3.314194	3	3.067013	3	2.726687	1	2.36087	0	east Mackin	20	0.247181	1	A_carrier	1
west Mackinaw	1	R	4	20	0.331166	3	1430	3.334855	["west", " Mack", "in", "aw"]	[7038, 16640, 259, 707]	3.334855	3	3.003689	3	2.892102	1	2.36087	0	west Mackin	20	0.331166	1	A_carrier	1
after Mackinaw	1	R	4	20	0.15282	3	1430	2.970939	["after", " Mack", "in", "aw"]	[8499, 16640, 259, 707]	2.970939	3	2.818119	3	2.495641	1	2.36087	0	after Mackin	20	0.15282	1	A_carrier	1
before Mackinaw	1	R	4	20	0.051545	3	1430	2.94789	["before", " Mack", "in", "aw"]	[19052, 16640, 259, 707]	2.94789	3	2.896344	3	2.493103	2	2.36087	0	before Mackin	20	0.051545	1	A_carrier	1
