# generated_utc	2026-08-14T14:56:01+00:00
# script	probe_v5.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	232
string	bos	rho	n_tok	dest	delta	t_star	runner_up	peak_val	tokens	token_ids	peak_20	peakpos_20	peak_1430	peakpos_1430	peak_1888	peakpos_1888	peak_2256	peakpos_2256	prefix	prefix_dest	prefix_delta	prefix_agrees	arm	canonical
at Reachinaw	1	R	4	1790	0.426783	2	2256	2.787653	["at", " Reach", "in", "aw"]	[265, 25146, 259, 707]	0.298248	3	-0.069594	2	2.223701	2	2.36087	0	at Reach	1790	0.42678	1	C_local	1
at inputsinaw	1	R	4	1898	0.097311	4	281	2.81853	["at", " inputs", "in", "aw"]	[265, 17311, 259, 707]	0.024623	3	0.759429	3	2.128478	1	2.36087	0	at inputsinaw	1898	0.097311	1	C_local	1
at Mackin contend	1	R	4	20	0.322105	3	1430	3.081348	["at", " Mack", "in", " contend"]	[265, 16640, 259, 24351]	3.081348	3	2.759243	3	2.295273	2	2.36087	0	at Mackin	20	0.322105	1	C_local	1
at biddinginaw	1	R	4	1898	0.111934	4	281	3.160414	["at", " bidding", "in", "aw"]	[265, 23829, 259, 707]	-0.00705	0	-0.040438	2	2.47912	3	2.36087	0	at biddinginaw	1898	0.111934	1	C_local	1
oker Mackinaw	1	R	4	20	0.102732	3	1888	2.931807	["oker", " Mack", "in", "aw"]	[11020, 16640, 259, 707]	2.931807	3	2.765777	3	2.829075	1	2.36087	0	oker Mackin	20	0.102732	1	C_local	1
at Mackin bombshell	1	R	4	20	0.322105	3	1430	3.081348	["at", " Mack", "in", " bombshell"]	[265, 16640, 259, 48714]	3.081348	3	2.759243	3	2.295273	2	2.36087	0	at Mackin	20	0.322105	1	C_local	1
 limiting Mackinaw	1	R	4	20	0.045963	3	1790	3.253541	[" limiting", " Mack", "in", "aw"]	[15637, 16640, 259, 707]	3.253541	3	2.819601	3	3.080519	1	2.36087	0	 limiting Mackin	20	0.045963	1	C_local	1
at Mack skinsaw	1	R	4	1430	0.587196	4	1790	3.174252	["at", " Mack", " skins", "aw"]	[265, 16640, 25873, 707]	-0.00705	0	3.174252	4	2.35596	3	2.36087	0	at Mack skinsaw	1430	0.587196	1	C_local	1
at Mackin observable	1	R	4	20	0.322105	3	1430	3.081348	["at", " Mack", "in", " observable"]	[265, 16640, 259, 42550]	3.081348	3	2.759243	3	2.482541	4	2.36087	0	at Mackin	20	0.322105	1	C_local	1
at Mackreachaw	1	R	4	1790	0.328721	3	2256	2.689591	["at", " Mack", "reach", "aw"]	[265, 16640, 16250, 707]	-0.00705	0	0.358726	3	2.295273	2	2.36087	0	at Mackreach	1790	0.328721	1	C_local	1
at MackinRT	1	R	4	20	0.322105	3	1430	3.081348	["at", " Mack", "in", "RT"]	[265, 16640, 259, 14181]	3.081348	3	2.759243	3	2.295273	2	2.36087	0	at Mackin	20	0.322105	1	C_local	1
at Mackin describe	1	R	4	20	0.322105	3	1430	3.081348	["at", " Mack", "in", " describe"]	[265, 16640, 259, 6901]	3.081348	3	2.759243	3	2.295273	2	2.36087	0	at Mackin	20	0.322105	1	C_local	1
at Mack multifaw	1	R	4	1790	0.479198	4	2256	2.840068	["at", " Mack", " multif", "aw"]	[265, 16640, 43543, 707]	-0.00705	0	-0.058381	3	2.295273	2	2.36087	0	at Mack multifaw	1790	0.479198	1	C_local	1
at Mackin affirmation	1	R	4	20	0.322105	3	1430	3.081348	["at", " Mack", "in", " affirmation"]	[265, 16640, 259, 46365]	3.081348	3	2.759243	3	2.63999	4	2.36087	0	at Mackin	20	0.322105	1	C_local	1
 Paper Mackinaw	1	R	4	1888	0.37999	1	20	3.563055	[" Paper", " Mack", "in", "aw"]	[14962, 16640, 259, 707]	3.183065	3	2.574377	3	3.563055	1	2.36087	0	 Paper	1888	1.202181	1	C_local	1
at Mackin Copenhagen	1	R	4	20	0.322105	3	1430	3.081348	["at", " Mack", "in", " Copenhagen"]	[265, 16640, 259, 31104]	3.081348	3	2.759243	3	2.295273	2	2.36087	0	at Mackin	20	0.322105	1	C_local	1
at Valenciainaw	1	R	6	705	0.089069	2	2445	2.986745	["at", " Val", "en", "ci", "ain", "aw"]	[265, 3254, 268, 979, 391, 707]	0.649121	4	-0.06724	4	2.128478	1	2.36087	0	at Val	705	0.625875	1	C_local	1
at Mack reductionaw	1	R	4	1790	0.690283	4	2256	3.051153	["at", " Mack", " reduction", "aw"]	[265, 16640, 7741, 707]	-0.00705	0	0.02562	4	2.309222	3	2.36087	0	at Mack reductionaw	1790	0.690283	1	C_local	1
at Mack FARaw	1	R	4	858	0.776701	3	2256	3.137571	["at", " Mack", " FAR", "aw"]	[265, 16640, 39024, 707]	-0.00705	0	0.045377	3	2.295273	2	2.36087	0	at Mack FAR	858	0.776701	1	C_local	1
at Mackin presidential	1	R	4	20	0.322105	3	1430	3.081348	["at", " Mack", "in", " presidential"]	[265, 16640, 259, 4787]	3.081348	3	2.759243	3	2.32383	4	2.36087	0	at Mackin	20	0.322105	1	C_local	1
at Mack compellingaw	1	R	4	1790	0.7566	4	2256	3.11747	["at", " Mack", " compelling", "aw"]	[265, 16640, 13206, 707]	-0.00705	0	-0.061178	2	2.295273	2	2.36087	0	at Mack compellingaw	1790	0.7566	1	C_local	1
at Mackbahaw	1	R	4	1790	0.385215	3	2256	2.746085	["at", " Mack", "bah", "aw"]	[265, 16640, 47041, 707]	-0.00705	0	0.699179	3	2.295273	2	2.36087	0	at Mackbah	1790	0.385215	1	C_local	1
aticksinaw	1	R	4	1888	0.399878	1	1898	3.168171	["atic", "ks", "in", "aw"]	[1512, 591, 259, 707]	0.971836	3	2.122141	3	3.168171	1	2.36087	0	atic	1888	0.721298	1	C_local	1
at constituentsinaw	1	R	4	281	0.270875	4	812	3.165841	["at", " constituents", "in", "aw"]	[265, 22573, 259, 707]	-0.00705	0	-0.060368	3	2.429626	2	2.36087	0	at constituentsinaw	281	0.270875	1	C_local	1
at Mackin Z	1	R	4	20	0.322105	3	1430	3.081348	["at", " Mack", "in", " Z"]	[265, 16640, 259, 1168]	3.081348	3	2.759243	3	2.295273	2	2.36087	0	at Mackin	20	0.322105	1	C_local	1
ctica Mackinaw	1	R	4	1888	0.010076	1	20	3.213601	["ctica", " Mack", "in", "aw"]	[28914, 16640, 259, 707]	3.203525	3	2.62886	3	3.213601	1	2.36087	0	ctica	1888	0.600798	1	C_local	1
at Mackin47	1	R	4	20	0.322105	3	1430	3.081348	["at", " Mack", "in", "47"]	[265, 16640, 259, 2857]	3.081348	3	2.759243	3	2.295273	2	2.36087	0	at Mackin	20	0.322105	1	C_local	1
at Mack screeaw	1	R	4	1790	0.126181	4	2256	2.487051	["at", " Mack", " scree", "aw"]	[265, 16640, 43465, 707]	-0.00705	0	-0.061178	2	2.295273	2	2.36087	0	at Mack screeaw	1790	0.126181	1	C_local	1
at Researchinaw	1	R	4	1898	0.530171	4	2256	2.891041	["at", " Research", "in", "aw"]	[265, 4992, 259, 707]	0.064785	3	-0.027249	2	2.132295	2	2.36087	0	at Researchinaw	1898	0.530171	1	C_local	1
 Tunnel Mackinaw	1	R	4	1888	0.452406	1	20	3.771095	[" Tunnel", " Mack", "in", "aw"]	[35863, 16640, 259, 707]	3.318689	3	2.428365	3	3.771095	1	2.36087	0	 Tunnel	1888	0.939646	1	C_local	1
at scaresinaw	1	R	4	281	0.524405	4	1898	3.269603	["at", " scares", "in", "aw"]	[265, 44462, 259, 707]	-0.00705	0	1.231365	3	2.247359	3	2.36087	0	at scaresinaw	281	0.524405	1	C_local	1
at MackinOld	1	R	4	20	0.322105	3	1430	3.081348	["at", " Mack", "in", "Old"]	[265, 16640, 259, 19620]	3.081348	3	2.759243	3	2.295273	2	2.36087	0	at Mackin	20	0.322105	1	C_local	1
at Mackugaw	1	R	4	1249	0.323567	3	1442	2.822232	["at", " Mack", "ug", "aw"]	[265, 16640, 1018, 707]	1.288192	3	2.214073	3	2.295273	2	2.36087	0	at Mackug	1249	0.323567	1	C_local	1
at Austininaw	1	R	4	1898	0.303179	4	2256	2.664048	["at", " Austin", "in", "aw"]	[265, 9533, 259, 707]	0.013059	3	0.098629	3	2.128478	1	2.36087	0	at Austininaw	1898	0.303179	1	C_local	1
at Mackin Canadian	1	R	4	20	0.322105	3	1430	3.081348	["at", " Mack", "in", " Canadian"]	[265, 16640, 259, 5398]	3.081348	3	2.759243	3	2.295273	2	2.36087	0	at Mackin	20	0.322105	1	C_local	1
at Mackin realizing	1	R	4	20	0.322105	3	1430	3.081348	["at", " Mack", "in", " realizing"]	[265, 16640, 259, 20060]	3.081348	3	2.759243	3	2.295273	2	2.36087	0	at Mackin	20	0.322105	1	C_local	1
at MackinAndre	1	R	4	20	0.322105	3	1430	3.081348	["at", " Mack", "in", "Andre"]	[265, 16640, 259, 31258]	3.081348	3	2.759243	3	2.295273	2	2.36087	0	at Mackin	20	0.322105	1	C_local	1
 Scala Mackinaw	1	R	4	20	0.388227	3	1888	3.225021	[" Scala", " Mack", "in", "aw"]	[38334, 16640, 259, 707]	3.225021	3	2.541693	3	2.836795	1	2.36087	0	 Scala Mackin	20	0.388227	1	C_local	1
at Garrettinaw	1	R	4	2256	0.093661	0	1790	2.36087	["at", " Garrett", "in", "aw"]	[265, 27540, 259, 707]	0.307229	3	-0.077734	2	2.128478	1	2.36087	0				bos_footprint	C_local	1
at Mackinquin	1	R	4	1790	0.009992	3	1101	2.581473	["at", " Mack", "inqu", "in"]	[265, 16640, 18934, 259]	2.14787	4	1.540274	3	2.295273	2	2.36087	0	at Mackinqu	1790	0.220603	1	C_local	1
 applicable Mackinaw	1	R	4	20	0.398919	3	1888	3.393483	[" applicable", " Mack", "in", "aw"]	[9723, 16640, 259, 707]	3.393483	3	2.931372	3	2.994564	1	2.36087	0	 applicable Mackin	20	0.398919	1	C_local	1
at Mackinpie	1	R	4	20	0.322105	3	1430	3.081348	["at", " Mack", "in", "pie"]	[265, 16640, 259, 21749]	3.081348	3	2.759243	3	2.295273	2	2.36087	0	at Mackin	20	0.322105	1	C_local	1
at Mack offencesaw	1	R	4	1790	0.885978	4	2256	3.246848	["at", " Mack", " offences", "aw"]	[265, 16640, 20819, 707]	-0.00705	0	1.792371	4	2.295273	2	2.36087	0	at Mack offencesaw	1790	0.885978	1	C_local	1
 heavens Mackinaw	1	R	4	1888	0.17294	1	464	3.520963	[" heavens", " Mack", "in", "aw"]	[27636, 16640, 259, 707]	2.970095	3	2.553456	3	3.520963	1	2.36087	0	 heavens	1888	0.172935	1	C_local	1
 Personal Mackinaw	1	R	4	20	0.187341	3	1888	3.31484	[" Personal", " Mack", "in", "aw"]	[15644, 16640, 259, 707]	3.31484	3	2.800412	3	3.127499	1	2.36087	0	 Personal Mackin	20	0.187341	1	C_local	1
at Mackinceler	1	R	4	1790	0.229247	3	2256	2.590117	["at", " Mack", "ince", "ler"]	[265, 16640, 924, 1754]	1.125172	3	1.462095	3	2.295273	2	2.36087	0	at Mackince	1790	0.229247	1	C_local	1
at MackOURCEaw	1	R	4	1790	0.350134	4	858	2.806608	["at", " Mack", "OURCE", "aw"]	[265, 16640, 31033, 707]	-0.00705	0	-0.061178	2	2.295273	2	2.36087	0	at MackOURCEaw	1790	0.350134	1	C_local	1
SQL Mackinaw	1	R	4	20	0.268342	3	1888	3.241966	["SQL", " Mack", "in", "aw"]	[17861, 16640, 259, 707]	3.241966	3	2.381352	3	2.973624	1	2.36087	0	SQL Mackin	20	0.268342	1	C_local	1
at MackOldaw	1	R	4	2256	0.008249	0	2556	2.36087	["at", " Mack", "Old", "aw"]	[265, 16640, 19620, 707]	-0.00705	0	0.075586	3	2.295273	2	2.36087	0				bos_footprint	C_local	1
at Mackinadvertisement	1	R	4	20	0.322105	3	1430	3.081348	["at", " Mack", "in", "advertisement"]	[265, 16640, 259, 45876]	3.081348	3	2.759243	3	2.295273	2	2.36087	0	at Mackin	20	0.322105	1	C_local	1
at Mack子aw	1	R	4	1790	0.464621	4	2256	2.825491	["at", " Mack", "子", "aw"]	[265, 16640, 36310, 707]	-0.00705	0	0.151368	4	2.295273	2	2.36087	0	at Mack子aw	1790	0.464621	1	C_local	1
 denies Mackinaw	1	R	4	20	0.265246	3	1430	3.140604	[" denies", " Mack", "in", "aw"]	[18866, 16640, 259, 707]	3.140604	3	2.875358	3	2.390068	2	2.36087	0	 denies Mackin	20	0.265246	1	C_local	1
at Mack discountedaw	1	R	4	1790	0.817185	4	2256	3.178055	["at", " Mack", " discounted", "aw"]	[265, 16640, 29686, 707]	-0.00705	0	0.448871	4	2.295273	2	2.36087	0	at Mack discountedaw	1790	0.817185	1	C_local	1
at Mackin Gael	1	R	4	20	0.322105	3	1430	3.081348	["at", " Mack", "in", " Gael"]	[265, 16640, 259, 39652]	3.081348	3	2.759243	3	2.295273	2	2.36087	0	at Mackin	20	0.322105	1	C_local	1
at Surveinaw	1	R	4	1888	0.322104	2	2256	2.682974	["at", " Surve", "in", "aw"]	[265, 28095, 259, 707]	0.621218	3	-0.070772	2	2.682974	2	2.36087	0	at Surve	1888	0.322103	1	C_local	1
at Mackin Stefan	1	R	4	20	0.322105	3	1430	3.081348	["at", " Mack", "in", " Stefan"]	[265, 16640, 259, 28842]	3.081348	3	2.759243	3	2.295273	2	2.36087	0	at Mackin	20	0.322105	1	C_local	1
at Mackin sky	1	R	4	20	0.322105	3	1430	3.081348	["at", " Mack", "in", " sky"]	[265, 16640, 259, 6766]	3.081348	3	2.759243	3	2.650783	4	2.36087	0	at Mackin	20	0.322105	1	C_local	1
 handc Mackinaw	1	R	4	1888	0.370918	1	20	3.466835	[" handc", " Mack", "in", "aw"]	[25188, 16640, 259, 707]	3.095917	3	2.548599	3	3.466835	1	2.36087	0	 handc	1888	0.918505	1	C_local	1
at Mackinsup	1	R	4	1011	0.009019	4	1430	2.674501	["at", " Mack", "ins", "up"]	[265, 16640, 1040, 929]	2.082643	3	2.665482	4	2.295273	2	2.36087	0	at Mackinsup	1011	0.009019	1	C_local	1
at Mackuredaw	1	R	4	1790	0.300044	3	2256	2.660914	["at", " Mack", "ured", "aw"]	[265, 16640, 1522, 707]	-0.00705	0	1.207085	3	2.295273	2	2.36087	0	at Mackured	1790	0.300044	1	C_local	1
 respectfully 321near uh	1	R	4	1888	0.094384	1	1594	3.212701	[" respectfully", " 321", "near", " uh"]	[41177, 39595, 40093, 21480]	-0.005361	3	-0.022639	4	3.212701	1	2.36087	0	 respectfully	1888	0.094386	1	D_random	1
 tre deposition Written colourful	1	R	4	1888	0.326436	1	1790	3.146401	[" tre", " deposition", " Written", " colourful"]	[2054, 32553, 22503, 44799]	-0.00705	0	-0.028204	4	3.146401	1	2.36087	0	 tre	1888	0.326436	1	D_random	1
 brethrendaily halfwayubby	1	R	6	1888	0.125173	1	1790	3.250135	[" bre", "th", "rend", "aily", " halfway", "ubby"]	[1449, 400, 10920, 3079, 19487, 38393]	-0.00705	0	-0.011025	5	3.250135	1	2.36087	0	 bre	1888	0.125174	1	D_random	1
 Juliusernandezrew Ripple	1	R	4	1888	0.321105	4	1790	2.888476	[" Julius", "ernandez", "rew", " Ripple"]	[32834, 18092, 1809, 40303]	-0.006316	3	-0.109343	1	2.888476	4	2.36087	0	 Juliusernandezrew Ripple	1888	0.321105	1	D_random	1
 derives 317 fosteringabilities	1	R	4	1888	0.348064	1	1790	3.010483	[" derives", " 317", " fostering", "abilities"]	[37453, 37563, 44209, 5738]	-0.00705	0	-0.068468	3	3.010483	1	2.36087	0	 derives	1888	0.348063	1	D_random	1
 designinglement hungry Nuclear	1	R	4	1888	0.598623	1	1790	3.066316	[" designing", "lement", " hungry", " Nuclear"]	[18492, 1732, 14720, 19229]	-0.00705	0	-0.043467	3	3.066316	1	2.36087	0	 designing	1888	0.705443	1	D_random	1
Alexiddling Newt Liverpool	1	R	4	1888	0.28856	1	1790	3.302462	["Alex", "iddling", " Newt", " Liverpool"]	[15309, 41367, 40893, 11761]	-0.00705	0	0.964889	2	3.302462	1	2.36087	0	Alex	1888	0.941589	1	D_random	1
 courtroomNCoteric tweet	1	R	4	1888	1.104963	1	1790	3.543515	[" courtroom", "NC", "oteric", " tweet"]	[24832, 7792, 38571, 6126]	-0.00705	0	-0.03886	3	3.543515	1	2.36087	0	 courtroom	1888	1.182642	1	D_random	1
 XDWASHINGTON bub Here	1	R	4	1888	1.413768	1	1790	3.877517	[" XD", "WASHINGTON", " bub", " Here"]	[46537, 21793, 10015, 3423]	-0.00705	0	-0.020083	4	3.877517	1	2.36087	0	 XD	1888	1.413764	1	D_random	1
 disconnectedIA CollaborLas	1	R	4	1888	0.466725	3	1790	3.21035	[" disconnected", "IA", " Collabor", "Las"]	[28597, 3539, 37322, 46898]	-0.00705	0	-0.071761	2	3.21035	3	2.36087	0	 disconnectedIA Collabor	1888	0.466725	1	D_random	1
azar sits98 blessed	1	R	4	1790	0.026818	1	1888	2.902742	["azar", " sits", "98", " blessed"]	[29413, 10718, 4089, 18259]	-0.00705	0	0.026164	3	2.875924	4	2.36087	0	azar	1790	0.092407	1	D_random	1
odes notablePlex studio	1	R	4	1888	0.243629	3	1790	2.692264	["odes", " notable", "Plex", " studio"]	[4147, 12411, 46383, 8034]	-0.002587	3	-0.099854	4	2.692264	3	2.36087	0	odes notablePlex	1888	0.243629	1	D_random	1
 invest dinner Shiite modest	1	R	4	464	0.10156	1	1888	2.879373	[" invest", " dinner", " Shiite", " modest"]	[1325, 8073, 31445, 12949]	-0.00705	0	-0.019283	4	2.777813	1	2.36087	0	 invest	464	0.101556	1	D_random	1
 stagedquestion moratorium genus	1	R	4	1888	0.808157	1	1790	3.433833	[" staged", "question", " moratorium", " genus"]	[23393, 25652, 41772, 34306]	-0.00705	0	-0.101197	4	3.433833	1	2.36087	0	 staged	1888	0.808152	1	D_random	1
FT Suc perimeter terrorists	1	R	4	1888	0.816439	1	2256	3.177309	["FT", " Suc", " perimeter", " terrorists"]	[9792, 47352, 25317, 10509]	-0.00705	0	-0.061889	3	3.177309	1	2.36087	0	FT	1888	0.81644	1	D_random	1
 PisHHHHduinoCh	1	R	4	1888	1.187358	1	1303	3.664747	[" Pis", "HHHH", "duino", "Ch"]	[42021, 41100, 24493, 1925]	-0.00705	0	0.124302	2	3.664747	1	2.36087	0	 Pis	1888	1.303879	1	D_random	1
 HI Osc 610 regions	1	R	4	1888	0.921303	1	858	3.283106	[" HI", " Osc", " 610", " regions"]	[36210, 40203, 44300, 7652]	-0.00705	0	-0.042563	2	3.283106	1	2.36087	0	 HI	1888	0.921301	1	D_random	1
 Romero MAKE Monep	1	R	5	1888	0.169189	1	858	3.111756	[" Romero", " MAKE", " M", "one", "p"]	[38623, 39134, 337, 505, 79]	0.198786	4	-0.012259	2	3.111756	1	2.36087	0	 Romero	1888	0.750885	1	D_random	1
 Written reacted ✔ Apply	1	R	4	1790	0.04324	3	1888	2.488049	[" Written", " reacted", " ✔", " Apply"]	[22503, 22798, 28497, 27967]	-0.00705	0	-0.043064	2	2.444809	1	2.36087	0	 Written reacted ✔	1790	0.04324	1	D_random	1
 Hillary BayerReleased withheld	1	R	4	1888	0.792147	1	1790	3.322995	[" Hillary", " Bayer", "Released", " withheld"]	[5073, 48009, 45037, 31453]	-0.000519	2	-0.087077	3	3.322995	1	2.36087	0	 Hillary	1888	0.792149	1	D_random	1
 practiceslbsikini SQU	1	R	4	1888	0.509432	1	858	2.999561	[" practices", "lbs", "ikini", " SQU"]	[6593, 32133, 35542, 45880]	-0.00705	0	0.126545	2	2.999561	1	2.36087	0	 practices	1888	0.586918	1	D_random	1
 suspensionsassembledefe Comfort	1	R	4	1888	0.20875	1	1790	3.055883	[" suspensions", "assembled", "efe", " Comfort"]	[47228, 46826, 22521, 45769]	-0.00705	0	0.195998	2	3.055883	1	2.36087	0	 suspensions	1888	0.325994	1	D_random	1
fm Drugs beverage Pete	1	R	4	1888	0.328879	3	2256	2.689749	["fm", " Drugs", " beverage", " Pete"]	[38353, 26722, 24968, 17542]	-0.00705	0	-0.023015	4	2.689749	3	2.36087	0	fm Drugs beverage	1888	0.328879	1	D_random	1
 calmlyLake Celtics plent	1	R	4	1888	0.491029	1	1594	3.347484	[" calmly", "Lake", " Celtics", " plent"]	[30180, 43035, 24116, 38145]	-0.005269	2	-0.06701	1	3.347484	1	2.36087	0	 calmly	1888	0.49103	1	D_random	1
 designing plutonium calvesstory	1	R	4	1888	0.705446	1	2256	3.066316	[" designing", " plutonium", " calves", "story"]	[18492, 47901, 45889, 13571]	-0.00705	0	-0.077444	4	3.066316	1	2.36087	0	 designing	1888	0.705443	1	D_random	1
 QC rac creedTP	1	R	4	1888	0.897592	1	1790	3.714221	[" QC", " rac", " creed", "TP"]	[36070, 3444, 43514, 7250]	-0.00705	0	-0.044438	1	3.714221	1	2.36087	0	 QC	1888	0.897595	1	D_random	1
 discussingucker scripture Warm	1	R	4	1888	0.086555	1	1790	2.65408	[" discussing", "ucker", " scripture", " Warm"]	[11142, 12603, 36739, 25692]	-0.00705	0	-0.027627	4	2.65408	1	2.36087	0	 discussing	1888	0.262183	1	D_random	1
onents Hmm escorted lead	1	R	4	1888	0.60972	1	2256	2.970589	["onents", " Hmm", " escorted", " lead"]	[3906, 43352, 30037, 1085]	-0.00705	0	-0.012305	4	2.970589	1	2.36087	0	onents	1888	0.609718	1	D_random	1
1 wood misleadingrel	1	R	4	1888	0.279606	1	1790	2.683741	["1", " wood", " misleading", "rel"]	[16, 4898, 15850, 2411]	-0.00705	0	-0.005943	2	2.683741	1	2.36087	0	1	1888	0.322868	1	D_random	1
Hyd enorm shines Prevention	1	R	4	1888	1.36076	1	2256	3.72163	["Hyd", " enorm", " shines", " Prevention"]	[40436, 8885, 32481, 18313]	-0.00705	0	-0.018745	3	3.72163	1	2.36087	0	Hyd	1888	1.36076	1	D_random	1
 hypnot Greeceverend ecstatic	1	R	4	1888	1.152783	1	1790	3.989322	[" hypnot", " Greece", "verend", " ecstatic"]	[36580, 10315, 37713, 45782]	-0.00705	0	-0.031321	2	3.989322	1	2.36087	0	 hypnot	1888	1.434836	1	D_random	1
 375 Salrome preliminary	1	R	4	1888	0.35514	1	1790	3.54605	[" 375", " Sal", "rome", " preliminary"]	[29414, 4849, 5998, 15223]	-0.00705	0	-0.01229	4	3.54605	1	2.36087	0	 375	1888	1.185177	1	D_random	1
ianoosing perspectivesposes	1	R	4	1888	0.711145	1	1790	3.354219	["iano", "osing", " perspectives", "poses"]	[10115, 2752, 22582, 4832]	-0.00705	0	0.061788	4	3.354219	1	2.36087	0	iano	1888	0.726645	1	D_random	1
SitSItell heated	1	R	4	1888	0.572886	1	2707	3.127972	["Sit", "SI", "tell", " heated"]	[46655, 11584, 33331, 16968]	-0.00705	0	-0.008599	4	3.127972	1	2.36087	0	Sit	1888	0.57289	1	D_random	1
 unconavers techniques invest	1	R	4	1888	0.466609	1	1790	3.174835	[" uncon", "avers", " techniques", " invest"]	[21254, 30400, 7605, 1325]	-0.00705	0	-0.017163	3	3.174835	1	2.36087	0	 uncon	1888	0.598445	1	D_random	1
 Summit Charter Chengfacts	1	R	4	1888	0.796194	1	1790	3.621149	[" Summit", " Charter", " Cheng", "facts"]	[20014, 23006, 27692, 37473]	-0.00705	0	-0.054616	2	3.621149	1	2.36087	0	 Summit	1888	0.796193	1	D_random	1
 Dumbledore euph AMERICAdes	1	R	6	1888	0.595667	1	1790	3.746628	[" Dumbledore", " euph", " AMER", "IC", "Ad", "es"]	[27442, 40381, 32617, 2149, 2782, 274]	1.663355	4	0.118573	4	3.746628	1	2.36087	0	 Dumbledore	1888	1.2496	1	D_random	1
ources\\\\\\\\ isol Turtle	1	R	4	1888	0.352454	3	1790	2.740286	["ources", "\\\\\\\\\\\\\\\\", " isol", " Turtle"]	[2203, 21807, 7010, 33137]	-0.00705	0	-0.03091	3	2.740286	3	2.36087	0	ources\\\\\\\\ isol	1888	0.352454	1	D_random	1
 bombshelloday Curtisaudi	1	R	4	1888	0.518738	1	1790	3.123386	[" bombshell", "oday", " Curtis", "audi"]	[48714, 4348, 25157, 31330]	-0.003305	4	0.133086	4	3.123386	1	2.36087	0	 bombshell	1888	0.57312	1	D_random	1
Lead reluctance Beirut advises	1	R	4	1888	0.470417	1	1791	3.010047	["Lead", " reluctance", " Beirut", " advises"]	[20451, 33506, 40702, 34138]	-0.003414	4	-0.024568	4	3.010047	1	2.36087	0	Lead	1888	0.649175	1	D_random	1
 fur Comfort garNew	1	R	4	1888	0.453672	1	1790	3.645813	[" fur", " Comfort", " gar", "New"]	[9230, 45769, 5482, 3791]	-0.00705	0	-0.059046	2	3.645813	1	2.36087	0	 fur	1888	0.453669	1	D_random	1
 Crack Proced downtownocl	1	R	4	1888	0.423331	1	1790	3.451586	[" Crack", " Proced", " downtown", "ocl"]	[46180, 23652, 9436, 38679]	-0.00705	0	-0.019829	3	3.451586	1	2.36087	0	 Crack	1888	0.423333	1	D_random	1
 cultivation chopped patrolling Drugs	1	R	4	1888	0.361132	1	1790	3.332014	[" cultivation", " chopped", " patrolling", " Drugs"]	[23089, 20720, 44518, 26722]	-0.00705	0	-0.084783	3	3.332014	1	2.36087	0	 cultivation	1888	0.361133	1	D_random	1
rys057unte},"	1	R	4	1888	0.514304	1	1790	3.030674	["rys", "057", "unte", "},\""]	[19753, 43526, 6311, 9063]	-0.00705	0	-0.020695	4	3.030674	1	2.36087	0	rys	1888	0.578775	1	D_random	1
 chooses Renault risesTrump	1	R	4	1888	0.160741	1	2256	2.52161	[" chooses", " Renault", " rises", "Trump"]	[19769, 44083, 16736, 6170]	-0.00705	0	-0.007486	4	2.52161	1	2.36087	0	 chooses	1888	0.160738	1	D_random	1
igrouphex tragedy evapor	1	R	4	1888	0.660265	1	1790	3.349655	["igroup", "hex", " tragedy", " evapor"]	[47875, 33095, 13574, 28959]	-0.00705	0	-0.035191	3	3.349655	1	2.36087	0	igroup	1888	0.66026	1	D_random	1
thingTa lifelessitaire	1	R	4	1888	0.39288	1	1790	3.229028	["thing", "Ta", " lifeless", "itaire"]	[1197, 38586, 46443, 26627]	-0.00705	0	-0.009076	3	3.229028	1	2.36087	0	thing	1888	0.532636	1	D_random	1
abre ac Slash miserable	1	R	4	1888	0.822373	1	1790	3.446686	["abre", " ac", " Slash", " miserable"]	[46241, 936, 26616, 22444]	-0.00705	0	-0.002139	2	3.446686	1	2.36087	0	abre	1888	0.830611	1	D_random	1
 convertinganka envoy theological	1	R	4	1888	0.089385	1	1790	2.710448	[" converting", "anka", " envoy", " theological"]	[23202, 15927, 39137, 30576]	-0.00705	0	-0.122657	0	2.710448	1	2.36087	0	 converting	1888	0.349577	1	D_random	1
Tickets creations gust replica	1	R	4	1888	0.757851	1	2256	3.118721	["Tickets", " creations", " gust", " replica"]	[43254, 28443, 35253, 30069]	-0.00705	0	0.451159	2	3.118721	1	2.36087	0	Tickets	1888	0.757846	1	D_random	1
 sciences Joseph WHO adj	1	R	4	1888	0.448578	1	1790	3.131756	[" sciences", " Joseph", " WHO", " adj"]	[19838, 7212, 19494, 9224]	-0.00705	0	-0.030181	4	3.131756	1	2.36087	0	 sciences	1888	0.448575	1	D_random	1
 guycomp peach rivals	1	R	4	1888	1.104604	1	1790	3.553268	[" guy", "comp", " peach", " rivals"]	[3516, 5589, 47565, 14987]	-0.00705	0	0.053678	2	3.553268	1	2.36087	0	 guy	1888	1.104604	1	D_random	1
