# generated_utc	2026-08-14T15:32:51+00:00
# script	probe_v6.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	153
string	bos	rho	n_tok	dest	delta	t_star	runner_up	peak_val	tokens	token_ids	peak_20	peakpos_20	peak_38	peakpos_38	peak_281	peakpos_281	peak_464	peakpos_464	peak_1430	peakpos_1430	peak_1790	peakpos_1790	peak_1888	peakpos_1888	peak_2094	peakpos_2094	peak_2256	peakpos_2256	prefix	prefix_dest	prefix_delta	prefix_agrees	seed_name	seed_string	target_dest	branch	rng_seed	evaluation_index	source_string	source_token_ids	intended_token_ids	realised_token_ids	intended_n_tok	realised_n_tok	intended_edit_distance	realised_edit_distance	roundtrip_stable	intervention_agrees	edit_position
the water was Mackinaw	1	R	6	20	0.476561	5	1790	3.220311	["the", " water", " was", " Mack", "in", "aw"]	[1169, 1660, 373, 16640, 259, 707]	3.220311	5	0.445256	3	0.163982	1	0.516699	1	2.703972	5	2.74375	1	2.662838	2	0.239423	0	2.36087	0	the water was Mackin	20	0.476561	1	mackinaw_20	at Mackinaw	20	A_CARRIER	NA	10	at Mackinaw	[265, 16640, 259, 707]	[1169, 1660, 373, 16640, 259, 707]	[1169, 1660, 373, 16640, 259, 707]	6	6	3	3	1	1	NA
at Mackinaw	1	R	4	20	0.322105	3	1430	3.081347	["at", " Mack", "in", "aw"]	[265, 16640, 259, 707]	3.081347	3	0.11632	0	0.175272	2	-0.003387	4	2.759242	3	2.250798	1	2.295273	2	0.239423	0	2.36087	0	at Mackin	20	0.322105	1	mackinaw_20	at Mackinaw	20	B_GATE	NA	1	at Mackinaw	[265, 16640, 259, 707]	[265, 16640, 259, 707]	[265, 16640, 259, 707]	4	4	0	0	1	1	NA
at Nantucket	1	R	4	858	0.116226	2	942	2.703563	["at", " N", "ant", "ucket"]	[265, 399, 415, 38811]	-0.00705	0	0.11632	0	0.661437	2	-0.033355	0	-0.046728	3	2.250798	1	2.265475	2	0.239423	0	2.36087	0	at N	858	0.336805	1	mackinaw_20	at Mackinaw	20	B_GATE	NA	2	at Mackinaw	[265, 16640, 259, 707]	[265, 399, 415, 38811]	[265, 399, 415, 38811]	4	4	3	3	1	1	NA
at Iceland	1	R	2	2256	0.110071	0	1790	2.36087	["at", " Iceland"]	[265, 17333]	-0.00705	0	0.11632	0	0.095039	2	-0.033355	0	-0.122657	0	2.250798	1	2.242619	2	0.239423	0	2.36087	0				bos_footprint	mackinaw_20	at Mackinaw	20	B_GATE	NA	3	at Mackinaw	[265, 16640, 259, 707]	[265, 17333]	[265, 17333]	2	2	3	3	1	1	NA
at Greenland	1	R	2	1888	0.223001	2	2256	2.583871	["at", " Greenland"]	[265, 30155]	-0.00705	0	0.11632	0	0.294463	2	-0.033355	0	-0.122657	0	2.250798	1	2.583871	2	0.239423	0	2.36087	0	at Greenland	1888	0.223001	1	mackinaw_20	at Mackinaw	20	B_GATE	NA	4	at Mackinaw	[265, 16640, 259, 707]	[265, 30155]	[265, 30155]	2	2	3	3	1	1	NA
at Labrador	1	R	2	1888	0.064945	2	2256	2.425815	["at", " Labrador"]	[265, 45246]	-0.00705	0	0.11632	0	0.073377	2	-0.033355	0	-0.122657	0	2.250798	1	2.425815	2	0.239423	0	2.36087	0	at Labrador	1888	0.064945	1	mackinaw_20	at Mackinaw	20	B_GATE	NA	5	at Mackinaw	[265, 16640, 259, 707]	[265, 45246]	[265, 45246]	2	2	3	3	1	1	NA
at Patagonia	1	R	4	1956	0.183192	3	2256	2.544062	["at", " Pat", "agon", "ia"]	[265, 3208, 1840, 544]	0.442853	3	0.11632	0	0.117794	2	-0.002344	3	-0.057712	2	2.250798	1	2.128479	1	0.239423	0	2.36087	0	at Patagon	1956	0.183192	1	mackinaw_20	at Mackinaw	20	B_GATE	NA	6	at Mackinaw	[265, 16640, 259, 707]	[265, 3208, 1840, 544]	[265, 3208, 1840, 544]	4	4	3	3	1	1	NA
at Zanzibar	1	R	5	1888	0.114269	2	1790	2.660555	["at", " Z", "anz", "ib", "ar"]	[265, 1168, 35410, 571, 283]	0.908258	4	0.11632	0	0.061237	1	-0.000536	4	0.151485	4	2.546286	4	2.660555	2	0.239423	0	2.36087	0	at Z	1888	0.299685	1	mackinaw_20	at Mackinaw	20	B_GATE	NA	7	at Mackinaw	[265, 16640, 259, 707]	[265, 1168, 35410, 571, 283]	[265, 1168, 35410, 571, 283]	5	5	4	4	1	1	NA
at harbour	1	R	2	1888	0.030465	2	1790	2.519243	["at", " harbour"]	[265, 39720]	-0.00705	0	0.11632	0	1.835143	2	-0.033355	0	-0.122657	0	2.488778	2	2.519243	2	0.239423	0	2.36087	0	at harbour	1888	0.030465	1	mackinaw_20	at Mackinaw	20	B_GATE	NA	8	at Mackinaw	[265, 16640, 259, 707]	[265, 39720]	[265, 39720]	2	2	3	3	1	1	NA
at anchor	1	R	2	2256	0.110071	0	1790	2.36087	["at", " anchor"]	[265, 18021]	-0.00705	0	0.11632	0	1.565228	2	-0.033355	0	-0.058918	2	2.250798	1	2.128479	1	0.239423	0	2.36087	0				bos_footprint	mackinaw_20	at Mackinaw	20	B_GATE	NA	9	at Mackinaw	[265, 16640, 259, 707]	[265, 18021]	[265, 18021]	2	2	3	3	1	1	NA
