# generated_utc	2026-08-14T15:34:59+00:00
# script	probe_v6.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	1620
seed_name	target_dest	branch	rng_seed	n_evaluated	distinct_destinations	target_retained	retention_rate
mackinaw_20	20	B_GATE	NA	27	11	1	0.037037037037037035
mackinaw_20	20	B_GATE	NA	28	11	1	0.03571428571428571
mackinaw_20	20	B_GATE	NA	29	12	1	0.034482758620689655
mackinaw_20	20	B_GATE	NA	30	13	1	0.03333333333333333
mackinaw_20	20	B_GATE	NA	31	13	1	0.03225806451612903
mackinaw_20	20	B_GATE	NA	32	13	1	0.03125
mackinaw_20	20	B_GATE	NA	33	13	1	0.030303030303030304
mackinaw_20	20	B_GATE	NA	34	13	1	0.029411764705882353
mackinaw_20	20	B_GATE	NA	35	13	1	0.02857142857142857
mackinaw_20	20	B_GATE	NA	36	13	1	0.027777777777777776
mackinaw_20	20	B_GATE	NA	37	13	1	0.02702702702702703
mackinaw_20	20	B_GATE	NA	38	13	1	0.02631578947368421
mackinaw_20	20	B_GATE	NA	39	13	1	0.02564102564102564
mackinaw_20	20	B_GATE	NA	40	13	1	0.025
mackinaw_20	20	B_GATE	NA	41	13	1	0.024390243902439025
mackinaw_20	20	B_GATE	NA	42	13	1	0.023809523809523808
mackinaw_20	20	B_GATE	NA	43	13	1	0.023255813953488372
mackinaw_20	20	B_GATE	NA	44	13	1	0.022727272727272728
mackinaw_20	20	B_GATE	NA	45	13	1	0.022222222222222223
mackinaw_20	20	B_GATE	NA	46	13	1	0.021739130434782608
mackinaw_20	20	B_GATE	NA	47	13	1	0.02127659574468085
mackinaw_20	20	B_GATE	NA	48	13	1	0.020833333333333332
mackinaw_20	20	B_GATE	NA	49	13	1	0.02040816326530612
mackinaw_20	20	B_GATE	NA	50	13	1	0.02
mackinaw_20	20	B_GATE	NA	51	13	1	0.0196078431372549
mackinaw_20	20	B_GATE	NA	52	13	1	0.019230769230769232
mackinaw_20	20	B_GATE	NA	53	13	1	0.018867924528301886
mackinaw_20	20	B_GATE	NA	54	13	1	0.018518518518518517
mackinaw_20	20	B_GATE	NA	55	13	1	0.01818181818181818
mackinaw_20	20	B_GATE	NA	56	13	1	0.017857142857142856
mackinaw_20	20	B_GATE	NA	57	13	1	0.017543859649122806
mackinaw_20	20	B_GATE	NA	58	13	1	0.017241379310344827
mackinaw_20	20	B_GATE	NA	59	13	1	0.01694915254237288
mackinaw_20	20	B_GATE	NA	60	13	1	0.016666666666666666
mackinaw_20	20	E_CONTINUATION	NA	1	1	1	1.0
mackinaw_20	20	E_CONTINUATION	NA	2	2	1	0.5
mackinaw_20	20	E_CONTINUATION	NA	3	2	2	0.6666666666666666
mackinaw_20	20	E_CONTINUATION	NA	4	2	3	0.75
mackinaw_20	20	E_CONTINUATION	NA	5	2	4	0.8
mackinaw_20	20	E_CONTINUATION	NA	6	2	5	0.8333333333333334
mackinaw_20	20	E_CONTINUATION	NA	7	2	6	0.8571428571428571
mackinaw_20	20	E_CONTINUATION	NA	8	2	7	0.875
mackinaw_20	20	E_CONTINUATION	NA	9	3	7	0.7777777777777778
mackinaw_20	20	E_CONTINUATION	NA	10	4	7	0.7
mackinaw_20	20	E_CONTINUATION	NA	11	5	7	0.6363636363636364
mackinaw_20	20	E_CONTINUATION	NA	12	5	7	0.5833333333333334
mackinaw_20	20	E_CONTINUATION	NA	13	5	7	0.5384615384615384
mackinaw_20	20	E_CONTINUATION	NA	14	5	8	0.5714285714285714
mackinaw_20	20	E_CONTINUATION	NA	15	5	8	0.5333333333333333
mackinaw_20	20	E_CONTINUATION	NA	16	5	9	0.5625
mackinaw_20	20	E_CONTINUATION	NA	17	5	10	0.5882352941176471
mackinaw_20	20	E_CONTINUATION	NA	18	5	11	0.6111111111111112
mackinaw_20	20	E_CONTINUATION	NA	19	5	12	0.631578947368421
mackinaw_20	20	E_CONTINUATION	NA	20	5	13	0.65
mackinaw_20	20	E_CONTINUATION	NA	21	5	14	0.6666666666666666
mackinaw_20	20	E_CONTINUATION	NA	22	5	15	0.6818181818181818
mackinaw_20	20	E_CONTINUATION	NA	23	5	16	0.6956521739130435
mackinaw_20	20	E_CONTINUATION	NA	24	5	17	0.7083333333333334
mackinaw_20	20	E_CONTINUATION	NA	25	5	18	0.72
mackinaw_20	20	E_CONTINUATION	NA	26	5	19	0.7307692307692307
mackinaw_20	20	E_CONTINUATION	NA	27	5	20	0.7407407407407407
mackinaw_20	20	E_CONTINUATION	NA	28	5	21	0.75
mackinaw_20	20	E_CONTINUATION	NA	29	5	22	0.7586206896551724
mackinaw_20	20	E_CONTINUATION	NA	30	5	23	0.7666666666666667
mackinaw_20	20	E_CONTINUATION	NA	31	5	24	0.7741935483870968
mackinaw_20	20	E_CONTINUATION	NA	32	5	25	0.78125
mackinaw_20	20	E_CONTINUATION	NA	33	5	26	0.7878787878787878
mackinaw_20	20	E_CONTINUATION	NA	34	5	27	0.7941176470588235
mackinaw_20	20	E_CONTINUATION	NA	35	5	28	0.8
mackinaw_20	20	E_CONTINUATION	NA	36	5	29	0.8055555555555556
mackinaw_20	20	E_CONTINUATION	NA	37	5	30	0.8108108108108109
mackinaw_20	20	E_CONTINUATION	NA	38	5	31	0.8157894736842105
mackinaw_20	20	E_CONTINUATION	NA	39	5	32	0.8205128205128205
mackinaw_20	20	E_CONTINUATION	NA	40	5	33	0.825
mackinaw_20	20	E_CONTINUATION	NA	41	5	34	0.8292682926829268
mackinaw_20	20	E_CONTINUATION	NA	42	6	34	0.8095238095238095
mackinaw_20	20	E_CONTINUATION	NA	43	7	34	0.7906976744186046
mackinaw_20	20	E_CONTINUATION	NA	44	7	35	0.7954545454545454
mackinaw_20	20	E_CONTINUATION	NA	45	7	36	0.8
mackinaw_20	20	E_CONTINUATION	NA	46	7	37	0.8043478260869565
mackinaw_20	20	E_CONTINUATION	NA	47	7	38	0.8085106382978723
mackinaw_20	20	E_CONTINUATION	NA	48	7	39	0.8125
mackinaw_20	20	E_CONTINUATION	NA	49	7	40	0.8163265306122449
mackinaw_20	20	E_CONTINUATION	NA	50	7	41	0.82
mackinaw_20	20	E_CONTINUATION	NA	51	7	42	0.8235294117647058
mackinaw_20	20	E_CONTINUATION	NA	52	7	43	0.8269230769230769
mackinaw_20	20	E_CONTINUATION	NA	53	7	44	0.8301886792452831
mackinaw_20	20	E_CONTINUATION	NA	54	7	45	0.8333333333333334
mackinaw_20	20	E_CONTINUATION	NA	55	7	46	0.8363636363636363
mackinaw_20	20	E_CONTINUATION	NA	56	7	47	0.8392857142857143
mackinaw_20	20	E_CONTINUATION	NA	57	7	48	0.8421052631578947
mackinaw_20	20	E_CONTINUATION	NA	58	7	49	0.8448275862068966
mackinaw_20	20	E_CONTINUATION	NA	59	7	50	0.847457627118644
mackinaw_20	20	E_CONTINUATION	NA	60	7	51	0.85
mackinaw_20	20	C_LOCAL	0	1	1	0	0.0
mackinaw_20	20	C_LOCAL	0	2	2	0	0.0
mackinaw_20	20	C_LOCAL	0	3	3	1	0.3333333333333333
mackinaw_20	20	C_LOCAL	0	4	3	2	0.5
mackinaw_20	20	C_LOCAL	0	5	3	3	0.6
mackinaw_20	20	C_LOCAL	0	6	3	4	0.6666666666666666
mackinaw_20	20	C_LOCAL	0	7	3	4	0.5714285714285714
mackinaw_20	20	C_LOCAL	0	8	3	5	0.625
mackinaw_20	20	C_LOCAL	0	9	3	5	0.5555555555555556
mackinaw_20	20	C_LOCAL	0	10	3	6	0.6
mackinaw_20	20	C_LOCAL	0	11	4	6	0.5454545454545454
mackinaw_20	20	C_LOCAL	0	12	4	6	0.5
mackinaw_20	20	C_LOCAL	0	13	4	6	0.46153846153846156
mackinaw_20	20	C_LOCAL	0	14	4	7	0.5
mackinaw_20	20	C_LOCAL	0	15	4	7	0.4666666666666667
mackinaw_20	20	C_LOCAL	0	16	4	7	0.4375
mackinaw_20	20	C_LOCAL	0	17	4	8	0.47058823529411764
mackinaw_20	20	C_LOCAL	0	18	5	8	0.4444444444444444
mackinaw_20	20	C_LOCAL	0	19	5	9	0.47368421052631576
mackinaw_20	20	C_LOCAL	0	20	5	9	0.45
mackinaw_20	20	C_LOCAL	0	21	6	9	0.42857142857142855
mackinaw_20	20	C_LOCAL	0	22	6	9	0.4090909090909091
mackinaw_20	20	C_LOCAL	0	23	6	10	0.43478260869565216
mackinaw_20	20	C_LOCAL	0	24	6	11	0.4583333333333333
mackinaw_20	20	C_LOCAL	0	25	6	11	0.44
mackinaw_20	20	C_LOCAL	0	26	6	11	0.4230769230769231
mackinaw_20	20	C_LOCAL	0	27	6	11	0.4074074074074074
mackinaw_20	20	C_LOCAL	0	28	6	12	0.42857142857142855
mackinaw_20	20	C_LOCAL	0	29	6	12	0.41379310344827586
mackinaw_20	20	C_LOCAL	0	30	6	13	0.43333333333333335
mackinaw_20	20	C_LOCAL	0	31	6	14	0.45161290322580644
mackinaw_20	20	C_LOCAL	0	32	6	15	0.46875
mackinaw_20	20	C_LOCAL	0	33	6	16	0.48484848484848486
mackinaw_20	20	C_LOCAL	0	34	6	16	0.47058823529411764
mackinaw_20	20	C_LOCAL	0	35	6	16	0.45714285714285713
mackinaw_20	20	C_LOCAL	0	36	6	17	0.4722222222222222
mackinaw_20	20	C_LOCAL	0	37	6	17	0.4594594594594595
mackinaw_20	20	C_LOCAL	0	38	6	18	0.47368421052631576
mackinaw_20	20	C_LOCAL	0	39	6	19	0.48717948717948717
mackinaw_20	20	C_LOCAL	0	40	6	20	0.5
mackinaw_20	20	C_LOCAL	0	41	6	21	0.5121951219512195
mackinaw_20	20	C_LOCAL	0	42	6	22	0.5238095238095238
mackinaw_20	20	C_LOCAL	0	43	6	22	0.5116279069767442
mackinaw_20	20	C_LOCAL	0	44	6	22	0.5
mackinaw_20	20	C_LOCAL	0	45	6	22	0.4888888888888889
mackinaw_20	20	C_LOCAL	0	46	6	22	0.4782608695652174
mackinaw_20	20	C_LOCAL	0	47	6	22	0.46808510638297873
mackinaw_20	20	C_LOCAL	0	48	6	22	0.4583333333333333
mackinaw_20	20	C_LOCAL	0	49	6	23	0.46938775510204084
mackinaw_20	20	C_LOCAL	0	50	6	23	0.46
mackinaw_20	20	C_LOCAL	0	51	6	23	0.45098039215686275
mackinaw_20	20	C_LOCAL	0	52	6	23	0.4423076923076923
mackinaw_20	20	C_LOCAL	0	53	6	23	0.4339622641509434
mackinaw_20	20	C_LOCAL	0	54	6	23	0.42592592592592593
mackinaw_20	20	C_LOCAL	0	55	6	24	0.43636363636363634
mackinaw_20	20	C_LOCAL	0	56	6	24	0.42857142857142855
mackinaw_20	20	C_LOCAL	0	57	6	24	0.42105263157894735
mackinaw_20	20	C_LOCAL	0	58	6	24	0.41379310344827586
mackinaw_20	20	C_LOCAL	0	59	6	25	0.423728813559322
mackinaw_20	20	C_LOCAL	0	60	6	25	0.4166666666666667
mackinaw_20	20	D_RANDOM_TOKEN	0	1	1	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	2	2	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	3	2	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	4	3	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	5	4	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	6	4	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	7	4	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	8	4	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	9	4	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	10	4	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	11	4	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	12	4	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	13	4	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	14	4	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	15	4	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	16	4	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	17	4	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	18	4	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	19	4	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	20	5	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	21	5	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	22	5	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	23	5	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	24	5	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	25	5	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	26	5	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	27	5	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	28	5	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	29	5	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	30	5	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	31	5	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	32	5	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	33	5	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	34	5	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	35	5	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	36	5	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	37	5	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	38	5	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	39	5	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	40	5	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	41	5	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	42	5	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	43	5	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	44	5	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	45	5	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	46	5	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	47	5	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	48	5	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	49	5	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	50	5	0	0.0
mackinaw_20	20	D_RANDOM_TOKEN	0	51	5	0	0.0
