# generated_utc	2026-08-14T19:14:46+00:00
# script	probe_v11.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	650
case_id	branch	seed_id	variant	carrier_id	carrier	leading_prefix	first	connector	second	construction	continuation_id	continuation	string	n_tok	tokens	token_ids	pre_second_body_tokens	second_realised_tokens	completion_pos	completion_token	raw_pre_second_541	raw_completion_541	raw_completion_increment	raw_completion_best_other	raw_completion_best_other_value	raw_completion_margin	peak_541	peakpos_541	peak_token_541	best_other	best_other_peak	signed_541_margin	dest	retained_541	winner_peak	reported_delta	target_peaks_at_completion	baseline_variant	notes	native_connector	frame_class	source_provenance	known_member	related_member	arbitrary_a	arbitrary_b
REPEAT_CONNECTOR__AFTER_DAY__BY__THE_PHRASE__NONE	REPEAT_CONNECTOR	AFTER_DAY	BY	THE_PHRASE	the phrase 		day	by	day	day by day	NONE		the phrase day by day	5	["the", " phrase", " day", " by", " day"]	[1169, 9546, 1110, 416, 1110]	4	1	5	 day	-0.044952	3.32044	3.365392	2659	3.347002	-0.026562	3.32044	5	 day	2659	3.347002	-0.026562	2659	0	3.347002	0.026562	1	AFTER	connector substitution under exact repetition	after	KNOWN_REPEAT	HELDOUT_FAMILIAR	day	night	marble	forest
REPEAT_CONNECTOR__AFTER_DAY__AFTER__THE_PHRASE__NONE	REPEAT_CONNECTOR	AFTER_DAY	AFTER	THE_PHRASE	the phrase 		day	after	day	day after day	NONE		the phrase day after day	5	["the", " phrase", " day", " after", " day"]	[1169, 9546, 1110, 706, 1110]	4	1	5	 day	-0.045041	3.563554	3.608595	2566	3.140361	0.423193	3.563554	5	 day	2073	3.233148	0.330405	541	1	3.563554	0.330405	1	AFTER	native connector	after	KNOWN_REPEAT	HELDOUT_FAMILIAR	day	night	marble	forest
REPEAT_CONNECTOR__AFTER_DAY__AND__THEY_SAID__NONE	REPEAT_CONNECTOR	AFTER_DAY	AND	THEY_SAID	they said 		day	and	day	day and day	NONE		they said day and day	5	["they", " said", " day", " and", " day"]	[9930, 531, 1110, 290, 1110]	4	1	5	 day	-0.004868	3.58917	3.594038	2659	5.265858	-1.676688	3.58917	5	 day	2659	5.265858	-1.676688	2659	0	5.265858	1.676688	1	AFTER	connector substitution under exact repetition	after	KNOWN_REPEAT	HELDOUT_FAMILIAR	day	night	marble	forest
REPEAT_CONNECTOR__AFTER_DAY__OR__THEY_SAID__NONE	REPEAT_CONNECTOR	AFTER_DAY	OR	THEY_SAID	they said 		day	or	day	day or day	NONE		they said day or day	5	["they", " said", " day", " or", " day"]	[9930, 531, 1110, 393, 1110]	4	1	5	 day	-7.7e-05	2.234663	2.23474	2659	4.25253	-2.017867	2.234663	5	 day	2659	4.25253	-2.017867	2659	0	4.25253	1.89166	1	AFTER	connector substitution under exact repetition	after	KNOWN_REPEAT	HELDOUT_FAMILIAR	day	night	marble	forest
REPEAT_CONNECTOR__AFTER_DAY__TO__THEY_SAID__NONE	REPEAT_CONNECTOR	AFTER_DAY	TO	THEY_SAID	they said 		day	to	day	day to day	NONE		they said day to day	5	["they", " said", " day", " to", " day"]	[9930, 531, 1110, 284, 1110]	4	1	5	 day	-0.003975	3.592008	3.595982	2659	4.074332	-0.482324	3.592008	5	 day	2659	4.074332	-0.482324	2659	0	4.074332	0.482324	1	AFTER	connector substitution under exact repetition	after	KNOWN_REPEAT	HELDOUT_FAMILIAR	day	night	marble	forest
REPEAT_CONNECTOR__AFTER_DAY__BY__THEY_SAID__NONE	REPEAT_CONNECTOR	AFTER_DAY	BY	THEY_SAID	they said 		day	by	day	day by day	NONE		they said day by day	5	["they", " said", " day", " by", " day"]	[9930, 531, 1110, 416, 1110]	4	1	5	 day	-0.037867	3.403022	3.440889	2659	3.567516	-0.164495	3.403022	5	 day	2659	3.567516	-0.164495	2659	0	3.567516	0.164495	1	AFTER	connector substitution under exact repetition	after	KNOWN_REPEAT	HELDOUT_FAMILIAR	day	night	marble	forest
REPEAT_CONNECTOR__AFTER_DAY__AFTER__THEY_SAID__NONE	REPEAT_CONNECTOR	AFTER_DAY	AFTER	THEY_SAID	they said 		day	after	day	day after day	NONE		they said day after day	5	["they", " said", " day", " after", " day"]	[9930, 531, 1110, 706, 1110]	4	1	5	 day	-0.029086	4.154631	4.183717	2659	3.499308	0.655323	4.154631	5	 day	2659	3.499308	0.655323	541	1	4.154631	0.655323	1	AFTER	native connector	after	KNOWN_REPEAT	HELDOUT_FAMILIAR	day	night	marble	forest
FRAME_CROSS__AFTER_MILE__KNOWN_REPEAT__BARE__NONE	FRAME_CROSS	AFTER_MILE	KNOWN_REPEAT	BARE			mile	after	mile	mile after mile	NONE		mile after mile	3	["mile", " after", " mile"]	[18085, 706, 10591]	2	1	3	 mile	-0.160008	3.558946	3.718954	1738	2.927872	0.631074	3.558946	3	 mile	1888	2.946341	0.612605	541	1	3.558946	0.612605	1	KNOWN_REPEAT	known member repeated in native connector frame	after	KNOWN_REPEAT	HELDOUT_FAMILIAR	mile	road	candle	basket
FRAME_CROSS__AFTER_MILE__KNOWN_RELATED__BARE__NONE	FRAME_CROSS	AFTER_MILE	KNOWN_RELATED	BARE			mile	after	road	mile after road	NONE		mile after road	3	["mile", " after", " road"]	[18085, 706, 2975]	2	1	3	 road	-0.160008	0.112782	0.27279	1888	1.993754	-1.880972	0.112782	3	 road	1888	2.946341	-2.833559	1888	0	2.946341	0.585471	1	KNOWN_REPEAT	known first plus related distinct second	after	RELATED_DISTINCT	HELDOUT_FAMILIAR	mile	road	candle	basket
FRAME_CROSS__AFTER_MILE__KNOWN_ARBITRARY__BARE__NONE	FRAME_CROSS	AFTER_MILE	KNOWN_ARBITRARY	BARE			mile	after	basket	mile after basket	NONE		mile after basket	3	["mile", " after", " basket"]	[18085, 706, 7988]	2	1	3	 basket	-0.160008	-0.097627	0.062382	1888	2.621952	-2.719579	-0.000102	0	<BOS>	1888	2.946341	-2.946443	1888	0	2.946341	0.585471	0	KNOWN_REPEAT	known first plus arbitrary distinct second	after	ARBITRARY_DISTINCT	HELDOUT_FAMILIAR	mile	road	candle	basket
FRAME_CROSS__AFTER_MILE__ARBITRARY_KNOWN__BARE__NONE	FRAME_CROSS	AFTER_MILE	ARBITRARY_KNOWN	BARE			candle	after	mile	candle after mile	NONE		candle after mile	4	["cand", "le", " after", " mile"]	[46188, 293, 706, 10591]	3	1	4	 mile	-0.053539	-0.091786	-0.038246	1888	2.175061	-2.266847	-0.000102	0	<BOS>	1888	3.02891	-3.029012	1888	0	3.02891	0.301881	0	KNOWN_REPEAT	arbitrary first plus known second	after	ARBITRARY_DISTINCT	HELDOUT_FAMILIAR	mile	road	candle	basket
FRAME_CROSS__AFTER_MILE__ARBITRARY_REPEAT__BARE__NONE	FRAME_CROSS	AFTER_MILE	ARBITRARY_REPEAT	BARE			candle	after	candle	candle after candle	NONE		candle after candle	4	["cand", "le", " after", " candle"]	[46188, 293, 706, 26839]	3	1	4	 candle	-0.053539	0.873057	0.926596	1888	1.643001	-0.769944	0.873057	4	 candle	1888	3.02891	-2.155853	1888	0	3.02891	0.301881	1	KNOWN_REPEAT	predeclared arbitrary member repeated	after	NOVEL_REPEAT	HELDOUT_FAMILIAR	mile	road	candle	basket
FRAME_CROSS__AFTER_MILE__ARBITRARY_DISTINCT__BARE__NONE	FRAME_CROSS	AFTER_MILE	ARBITRARY_DISTINCT	BARE			candle	after	basket	candle after basket	NONE		candle after basket	4	["cand", "le", " after", " basket"]	[46188, 293, 706, 7988]	3	1	4	 basket	-0.053539	0.606147	0.659686	1888	2.053132	-1.446985	0.606147	4	 basket	1888	3.02891	-2.422763	1888	0	3.02891	0.301881	1	KNOWN_REPEAT	two predeclared arbitrary members	after	NOVEL_DISTINCT	HELDOUT_FAMILIAR	mile	road	candle	basket
FRAME_CROSS__AFTER_MILE__KNOWN_NO_CONNECTOR__BARE__NONE	FRAME_CROSS	AFTER_MILE	KNOWN_NO_CONNECTOR	BARE			mile		mile	mile mile	NONE		mile mile	2	["mile", " mile"]	[18085, 10591]	1	1	2	 mile	-0.119896	0.508873	0.628769	1691	2.554524	-2.045651	0.508873	2	 mile	1888	2.946341	-2.437468	1888	0	2.946341	0.391817	1	KNOWN_REPEAT	known repetition with connector removed	after	NO_CONNECTOR	HELDOUT_FAMILIAR	mile	road	candle	basket
FRAME_CROSS__AFTER_MILE__ARBITRARY_NO_CONNECTOR__BARE__NONE	FRAME_CROSS	AFTER_MILE	ARBITRARY_NO_CONNECTOR	BARE			candle		candle	candle candle	NONE		candle candle	3	["cand", "le", " candle"]	[46188, 293, 26839]	2	1	3	 candle	-0.154181	-0.116177	0.038004	1888	1.863161	-1.979338	-0.000102	0	<BOS>	1888	3.02891	-3.029012	1888	0	3.02891	0.301881	0	KNOWN_REPEAT	arbitrary repetition with connector removed	after	NO_CONNECTOR	HELDOUT_FAMILIAR	mile	road	candle	basket
FRAME_CROSS__AFTER_MILE__KNOWN_REPEAT__V9_SPACE__NONE	FRAME_CROSS	AFTER_MILE	KNOWN_REPEAT	V9_SPACE		 	mile	after	mile	mile after mile	NONE		 mile after mile	3	[" mile", " after", " mile"]	[10591, 706, 10591]	2	1	3	 mile	-0.138269	3.619434	3.757703	1738	3.321045	0.298389	3.619434	3	 mile	1738	3.321045	0.298389	541	1	3.619434	0.298389	1	KNOWN_REPEAT	known member repeated in native connector frame	after	KNOWN_REPEAT	HELDOUT_FAMILIAR	mile	road	candle	basket
FRAME_CROSS__AFTER_MILE__KNOWN_RELATED__V9_SPACE__NONE	FRAME_CROSS	AFTER_MILE	KNOWN_RELATED	V9_SPACE		 	mile	after	road	mile after road	NONE		 mile after road	3	[" mile", " after", " road"]	[10591, 706, 2975]	2	1	3	 road	-0.138269	-0.018992	0.119277	1888	2.123486	-2.142478	-0.000102	0	<BOS>	1888	3.209672	-3.209774	1888	0	3.209672	0.848803	0	KNOWN_REPEAT	known first plus related distinct second	after	RELATED_DISTINCT	HELDOUT_FAMILIAR	mile	road	candle	basket
FRAME_CROSS__AFTER_MILE__KNOWN_ARBITRARY__V9_SPACE__NONE	FRAME_CROSS	AFTER_MILE	KNOWN_ARBITRARY	V9_SPACE		 	mile	after	basket	mile after basket	NONE		 mile after basket	3	[" mile", " after", " basket"]	[10591, 706, 7988]	2	1	3	 basket	-0.138269	-0.146681	-0.008412	1888	2.577031	-2.723712	-0.000102	0	<BOS>	1888	3.209672	-3.209774	1888	0	3.209672	0.848803	0	KNOWN_REPEAT	known first plus arbitrary distinct second	after	ARBITRARY_DISTINCT	HELDOUT_FAMILIAR	mile	road	candle	basket
FRAME_CROSS__AFTER_MILE__ARBITRARY_KNOWN__V9_SPACE__NONE	FRAME_CROSS	AFTER_MILE	ARBITRARY_KNOWN	V9_SPACE		 	candle	after	mile	candle after mile	NONE		 candle after mile	3	[" candle", " after", " mile"]	[26839, 706, 10591]	2	1	3	 mile	-0.056558	-0.170019	-0.113461	1888	2.277448	-2.447466	-0.000102	0	<BOS>	1888	3.378142	-3.378244	1888	0	3.378142	0.733301	0	KNOWN_REPEAT	arbitrary first plus known second	after	ARBITRARY_DISTINCT	HELDOUT_FAMILIAR	mile	road	candle	basket
FRAME_CROSS__AFTER_MILE__ARBITRARY_REPEAT__V9_SPACE__NONE	FRAME_CROSS	AFTER_MILE	ARBITRARY_REPEAT	V9_SPACE		 	candle	after	candle	candle after candle	NONE		 candle after candle	3	[" candle", " after", " candle"]	[26839, 706, 26839]	2	1	3	 candle	-0.056558	2.036189	2.092747	2566	2.521269	-0.48508	2.036189	3	 candle	1888	3.378142	-1.341952	1888	0	3.378142	0.733301	1	KNOWN_REPEAT	predeclared arbitrary member repeated	after	NOVEL_REPEAT	HELDOUT_FAMILIAR	mile	road	candle	basket
FRAME_CROSS__AFTER_MILE__ARBITRARY_DISTINCT__V9_SPACE__NONE	FRAME_CROSS	AFTER_MILE	ARBITRARY_DISTINCT	V9_SPACE		 	candle	after	basket	candle after basket	NONE		 candle after basket	3	[" candle", " after", " basket"]	[26839, 706, 7988]	2	1	3	 basket	-0.056558	0.088957	0.145515	1888	2.105164	-2.016207	0.088957	3	 basket	1888	3.378142	-3.289184	1888	0	3.378142	0.733301	1	KNOWN_REPEAT	two predeclared arbitrary members	after	NOVEL_DISTINCT	HELDOUT_FAMILIAR	mile	road	candle	basket
FRAME_CROSS__AFTER_MILE__KNOWN_NO_CONNECTOR__V9_SPACE__NONE	FRAME_CROSS	AFTER_MILE	KNOWN_NO_CONNECTOR	V9_SPACE		 	mile		mile	mile mile	NONE		 mile mile	2	[" mile", " mile"]	[10591, 10591]	1	1	2	 mile	-0.149087	0.769922	0.919009	1691	2.789336	-2.019414	0.769922	2	 mile	1888	3.209672	-2.43975	1888	0	3.209672	0.420336	1	KNOWN_REPEAT	known repetition with connector removed	after	NO_CONNECTOR	HELDOUT_FAMILIAR	mile	road	candle	basket
FRAME_CROSS__AFTER_MILE__ARBITRARY_NO_CONNECTOR__V9_SPACE__NONE	FRAME_CROSS	AFTER_MILE	ARBITRARY_NO_CONNECTOR	V9_SPACE		 	candle		candle	candle candle	NONE		 candle candle	2	[" candle", " candle"]	[26839, 26839]	1	1	2	 candle	-0.119509	-0.164315	-0.044806	2566	2.43967	-2.603985	-0.000102	0	<BOS>	1888	3.378142	-3.378244	1888	0	3.378142	0.733301	0	KNOWN_REPEAT	arbitrary repetition with connector removed	after	NO_CONNECTOR	HELDOUT_FAMILIAR	mile	road	candle	basket
FRAME_CROSS__AFTER_MILE__KNOWN_REPEAT__THE_PHRASE__NONE	FRAME_CROSS	AFTER_MILE	KNOWN_REPEAT	THE_PHRASE	the phrase 		mile	after	mile	mile after mile	NONE		the phrase mile after mile	5	["the", " phrase", " mile", " after", " mile"]	[1169, 9546, 10591, 706, 10591]	4	1	5	 mile	-0.117336	3.522579	3.639915	2659	3.03626	0.486319	3.522579	5	 mile	2073	3.233148	0.289431	541	1	3.522579	0.289431	1	KNOWN_REPEAT	known member repeated in native connector frame	after	KNOWN_REPEAT	HELDOUT_FAMILIAR	mile	road	candle	basket
FRAME_CROSS__AFTER_MILE__KNOWN_RELATED__THE_PHRASE__NONE	FRAME_CROSS	AFTER_MILE	KNOWN_RELATED	THE_PHRASE	the phrase 		mile	after	road	mile after road	NONE		the phrase mile after road	5	["the", " phrase", " mile", " after", " road"]	[1169, 9546, 10591, 706, 2975]	4	1	5	 road	-0.117336	0.357371	0.474707	1888	1.835112	-1.477741	0.357371	5	 road	2073	3.233148	-2.875777	2073	0	3.233148	0.489397	1	KNOWN_REPEAT	known first plus related distinct second	after	RELATED_DISTINCT	HELDOUT_FAMILIAR	mile	road	candle	basket
FRAME_CROSS__AFTER_MILE__KNOWN_ARBITRARY__THE_PHRASE__NONE	FRAME_CROSS	AFTER_MILE	KNOWN_ARBITRARY	THE_PHRASE	the phrase 		mile	after	basket	mile after basket	NONE		the phrase mile after basket	5	["the", " phrase", " mile", " after", " basket"]	[1169, 9546, 10591, 706, 7988]	4	1	5	 basket	-0.117336	0.133578	0.250914	1888	2.148629	-2.015051	0.133578	5	 basket	2073	3.233148	-3.09957	2073	0	3.233148	0.489397	1	KNOWN_REPEAT	known first plus arbitrary distinct second	after	ARBITRARY_DISTINCT	HELDOUT_FAMILIAR	mile	road	candle	basket
FRAME_CROSS__AFTER_MILE__ARBITRARY_KNOWN__THE_PHRASE__NONE	FRAME_CROSS	AFTER_MILE	ARBITRARY_KNOWN	THE_PHRASE	the phrase 		candle	after	mile	candle after mile	NONE		the phrase candle after mile	5	["the", " phrase", " candle", " after", " mile"]	[1169, 9546, 26839, 706, 10591]	4	1	5	 mile	-0.062072	-0.167585	-0.105514	1888	2.020406	-2.187991	-0.000102	0	<BOS>	2073	3.233148	-3.23325	2073	0	3.233148	0.489397	0	KNOWN_REPEAT	arbitrary first plus known second	after	ARBITRARY_DISTINCT	HELDOUT_FAMILIAR	mile	road	candle	basket
FRAME_CROSS__AFTER_MILE__ARBITRARY_REPEAT__THE_PHRASE__NONE	FRAME_CROSS	AFTER_MILE	ARBITRARY_REPEAT	THE_PHRASE	the phrase 		candle	after	candle	candle after candle	NONE		the phrase candle after candle	5	["the", " phrase", " candle", " after", " candle"]	[1169, 9546, 26839, 706, 26839]	4	1	5	 candle	-0.062072	1.84282	1.904892	2566	2.316969	-0.474149	1.84282	5	 candle	2073	3.233148	-1.390328	2073	0	3.233148	0.489397	1	KNOWN_REPEAT	predeclared arbitrary member repeated	after	NOVEL_REPEAT	HELDOUT_FAMILIAR	mile	road	candle	basket
FRAME_CROSS__AFTER_MILE__ARBITRARY_DISTINCT__THE_PHRASE__NONE	FRAME_CROSS	AFTER_MILE	ARBITRARY_DISTINCT	THE_PHRASE	the phrase 		candle	after	basket	candle after basket	NONE		the phrase candle after basket	5	["the", " phrase", " candle", " after", " basket"]	[1169, 9546, 26839, 706, 7988]	4	1	5	 basket	-0.062072	0.245191	0.307262	1888	1.8579	-1.612709	0.245191	5	 basket	2073	3.233148	-2.987958	2073	0	3.233148	0.489397	1	KNOWN_REPEAT	two predeclared arbitrary members	after	NOVEL_DISTINCT	HELDOUT_FAMILIAR	mile	road	candle	basket
FRAME_CROSS__AFTER_MILE__KNOWN_NO_CONNECTOR__THE_PHRASE__NONE	FRAME_CROSS	AFTER_MILE	KNOWN_NO_CONNECTOR	THE_PHRASE	the phrase 		mile		mile	mile mile	NONE		the phrase mile mile	4	["the", " phrase", " mile", " mile"]	[1169, 9546, 10591, 10591]	3	1	4	 mile	-0.05938	0.302315	0.361695	2566	1.932535	-1.63022	0.302315	4	 mile	2073	3.233148	-2.930834	2073	0	3.233148	0.489397	1	KNOWN_REPEAT	known repetition with connector removed	after	NO_CONNECTOR	HELDOUT_FAMILIAR	mile	road	candle	basket
FRAME_CROSS__AFTER_MILE__ARBITRARY_NO_CONNECTOR__THE_PHRASE__NONE	FRAME_CROSS	AFTER_MILE	ARBITRARY_NO_CONNECTOR	THE_PHRASE	the phrase 		candle		candle	candle candle	NONE		the phrase candle candle	4	["the", " phrase", " candle", " candle"]	[1169, 9546, 26839, 26839]	3	1	4	 candle	-0.085041	-0.056	0.02904	2723	2.413822	-2.469822	-0.000102	0	<BOS>	2073	3.233148	-3.23325	2073	0	3.233148	0.489397	0	KNOWN_REPEAT	arbitrary repetition with connector removed	after	NO_CONNECTOR	HELDOUT_FAMILIAR	mile	road	candle	basket
FRAME_CROSS__AFTER_MILE__KNOWN_REPEAT__THEY_SAID__NONE	FRAME_CROSS	AFTER_MILE	KNOWN_REPEAT	THEY_SAID	they said 		mile	after	mile	mile after mile	NONE		they said mile after mile	5	["they", " said", " mile", " after", " mile"]	[9930, 531, 10591, 706, 10591]	4	1	5	 mile	-0.111275	4.655366	4.766641	2659	3.828068	0.827298	4.655366	5	 mile	2659	3.828068	0.827298	541	1	4.655366	0.827298	1	KNOWN_REPEAT	known member repeated in native connector frame	after	KNOWN_REPEAT	HELDOUT_FAMILIAR	mile	road	candle	basket
FRAME_CROSS__AFTER_MILE__KNOWN_RELATED__THEY_SAID__NONE	FRAME_CROSS	AFTER_MILE	KNOWN_RELATED	THEY_SAID	they said 		mile	after	road	mile after road	NONE		they said mile after road	5	["they", " said", " mile", " after", " road"]	[9930, 531, 10591, 706, 2975]	4	1	5	 road	-0.111275	0.059035	0.17031	1888	1.922808	-1.863774	0.059035	5	 road	419	2.863482	-2.804447	419	0	2.863482	0.248003	1	KNOWN_REPEAT	known first plus related distinct second	after	RELATED_DISTINCT	HELDOUT_FAMILIAR	mile	road	candle	basket
FRAME_CROSS__AFTER_MILE__KNOWN_ARBITRARY__THEY_SAID__NONE	FRAME_CROSS	AFTER_MILE	KNOWN_ARBITRARY	THEY_SAID	they said 		mile	after	basket	mile after basket	NONE		they said mile after basket	5	["they", " said", " mile", " after", " basket"]	[9930, 531, 10591, 706, 7988]	4	1	5	 basket	-0.111275	-0.005914	0.105361	1888	2.351498	-2.357412	-0.000102	0	<BOS>	419	2.863482	-2.863583	419	0	2.863482	0.248003	0	KNOWN_REPEAT	known first plus arbitrary distinct second	after	ARBITRARY_DISTINCT	HELDOUT_FAMILIAR	mile	road	candle	basket
FRAME_CROSS__AFTER_MILE__ARBITRARY_KNOWN__THEY_SAID__NONE	FRAME_CROSS	AFTER_MILE	ARBITRARY_KNOWN	THEY_SAID	they said 		candle	after	mile	candle after mile	NONE		they said candle after mile	5	["they", " said", " candle", " after", " mile"]	[9930, 531, 26839, 706, 10591]	4	1	5	 mile	-0.035091	-0.168572	-0.133481	1888	1.99323	-2.161802	-0.000102	0	<BOS>	1888	2.44452	-2.444621	1888	0	2.44452	0.08365	0	KNOWN_REPEAT	arbitrary first plus known second	after	ARBITRARY_DISTINCT	HELDOUT_FAMILIAR	mile	road	candle	basket
FRAME_CROSS__AFTER_MILE__ARBITRARY_REPEAT__THEY_SAID__NONE	FRAME_CROSS	AFTER_MILE	ARBITRARY_REPEAT	THEY_SAID	they said 		candle	after	candle	candle after candle	NONE		they said candle after candle	5	["they", " said", " candle", " after", " candle"]	[9930, 531, 26839, 706, 26839]	4	1	5	 candle	-0.035091	2.212455	2.247546	2566	2.52604	-0.313585	2.212455	5	 candle	2566	2.52604	-0.313585	2566	0	2.52604	0.08152	1	KNOWN_REPEAT	predeclared arbitrary member repeated	after	NOVEL_REPEAT	HELDOUT_FAMILIAR	mile	road	candle	basket
FRAME_CROSS__AFTER_MILE__ARBITRARY_DISTINCT__THEY_SAID__NONE	FRAME_CROSS	AFTER_MILE	ARBITRARY_DISTINCT	THEY_SAID	they said 		candle	after	basket	candle after basket	NONE		they said candle after basket	5	["they", " said", " candle", " after", " basket"]	[9930, 531, 26839, 706, 7988]	4	1	5	 basket	-0.035091	0.113741	0.148832	1888	1.814067	-1.700326	0.113741	5	 basket	1888	2.44452	-2.330778	1888	0	2.44452	0.08365	1	KNOWN_REPEAT	two predeclared arbitrary members	after	NOVEL_DISTINCT	HELDOUT_FAMILIAR	mile	road	candle	basket
FRAME_CROSS__AFTER_MILE__KNOWN_NO_CONNECTOR__THEY_SAID__NONE	FRAME_CROSS	AFTER_MILE	KNOWN_NO_CONNECTOR	THEY_SAID	they said 		mile		mile	mile mile	NONE		they said mile mile	4	["they", " said", " mile", " mile"]	[9930, 531, 10591, 10591]	3	1	4	 mile	-0.097013	1.236386	1.333399	1691	3.063237	-1.826851	1.236386	4	 mile	1691	3.063237	-1.826851	1691	0	3.063237	0.40879	1	KNOWN_REPEAT	known repetition with connector removed	after	NO_CONNECTOR	HELDOUT_FAMILIAR	mile	road	candle	basket
FRAME_CROSS__AFTER_MILE__ARBITRARY_NO_CONNECTOR__THEY_SAID__NONE	FRAME_CROSS	AFTER_MILE	ARBITRARY_NO_CONNECTOR	THEY_SAID	they said 		candle		candle	candle candle	NONE		they said candle candle	4	["they", " said", " candle", " candle"]	[9930, 531, 26839, 26839]	3	1	4	 candle	-0.077955	-0.106175	-0.02822	2566	2.666647	-2.772822	-0.000102	0	<BOS>	2566	2.666647	-2.666749	2566	0	2.666647	0.222128	0	KNOWN_REPEAT	arbitrary repetition with connector removed	after	NO_CONNECTOR	HELDOUT_FAMILIAR	mile	road	candle	basket
REPEAT_CONNECTOR__AFTER_MILE__AND__BARE__NONE	REPEAT_CONNECTOR	AFTER_MILE	AND	BARE			mile	and	mile	mile and mile	NONE		mile and mile	3	["mile", " and", " mile"]	[18085, 290, 10591]	2	1	3	 mile	-0.014581	4.068301	4.082881	2659	4.828014	-0.759714	4.068301	3	 mile	2659	4.828014	-0.759714	2659	0	4.828014	0.759714	1	AFTER	connector substitution under exact repetition	after	KNOWN_REPEAT	HELDOUT_FAMILIAR	mile	road	candle	basket
REPEAT_CONNECTOR__AFTER_MILE__OR__BARE__NONE	REPEAT_CONNECTOR	AFTER_MILE	OR	BARE			mile	or	mile	mile or mile	NONE		mile or mile	3	["mile", " or", " mile"]	[18085, 393, 10591]	2	1	3	 mile	-0.000987	3.310474	3.311461	2659	4.192838	-0.882364	3.310474	3	 mile	2659	4.192838	-0.882364	2659	0	4.192838	0.882364	1	AFTER	connector substitution under exact repetition	after	KNOWN_REPEAT	HELDOUT_FAMILIAR	mile	road	candle	basket
REPEAT_CONNECTOR__AFTER_MILE__TO__BARE__NONE	REPEAT_CONNECTOR	AFTER_MILE	TO	BARE			mile	to	mile	mile to mile	NONE		mile to mile	3	["mile", " to", " mile"]	[18085, 284, 10591]	2	1	3	 mile	-0.014915	3.55669	3.571605	2659	3.638154	-0.081463	3.55669	3	 mile	2659	3.638154	-0.081463	2659	0	3.638154	0.081463	1	AFTER	connector substitution under exact repetition	after	KNOWN_REPEAT	HELDOUT_FAMILIAR	mile	road	candle	basket
REPEAT_CONNECTOR__AFTER_MILE__BY__BARE__NONE	REPEAT_CONNECTOR	AFTER_MILE	BY	BARE			mile	by	mile	mile by mile	NONE		mile by mile	3	["mile", " by", " mile"]	[18085, 416, 10591]	2	1	3	 mile	-0.166597	3.687506	3.854103	2659	3.103448	0.584058	3.687506	3	 mile	2659	3.103448	0.584058	541	1	3.687506	0.584058	1	AFTER	connector substitution under exact repetition	after	KNOWN_REPEAT	HELDOUT_FAMILIAR	mile	road	candle	basket
REPEAT_CONNECTOR__AFTER_MILE__AFTER__BARE__NONE	REPEAT_CONNECTOR	AFTER_MILE	AFTER	BARE			mile	after	mile	mile after mile	NONE		mile after mile	3	["mile", " after", " mile"]	[18085, 706, 10591]	2	1	3	 mile	-0.160008	3.558946	3.718954	1738	2.927872	0.631074	3.558946	3	 mile	1888	2.946341	0.612605	541	1	3.558946	0.612605	1	AFTER	native connector	after	KNOWN_REPEAT	HELDOUT_FAMILIAR	mile	road	candle	basket
REPEAT_CONNECTOR__AFTER_MILE__AND__V9_SPACE__NONE	REPEAT_CONNECTOR	AFTER_MILE	AND	V9_SPACE		 	mile	and	mile	mile and mile	NONE		 mile and mile	3	[" mile", " and", " mile"]	[10591, 290, 10591]	2	1	3	 mile	-0.005515	3.464394	3.469909	2659	3.870992	-0.406598	3.464394	3	 mile	2659	3.870992	-0.406598	2659	0	3.870992	0.406598	1	AFTER	connector substitution under exact repetition	after	KNOWN_REPEAT	HELDOUT_FAMILIAR	mile	road	candle	basket
REPEAT_CONNECTOR__AFTER_MILE__OR__V9_SPACE__NONE	REPEAT_CONNECTOR	AFTER_MILE	OR	V9_SPACE		 	mile	or	mile	mile or mile	NONE		 mile or mile	3	[" mile", " or", " mile"]	[10591, 393, 10591]	2	1	3	 mile	-0.000329	2.920815	2.921144	2659	3.691884	-0.771069	2.920815	3	 mile	2659	3.691884	-0.771069	2659	0	3.691884	0.482212	1	AFTER	connector substitution under exact repetition	after	KNOWN_REPEAT	HELDOUT_FAMILIAR	mile	road	candle	basket
REPEAT_CONNECTOR__AFTER_MILE__TO__V9_SPACE__NONE	REPEAT_CONNECTOR	AFTER_MILE	TO	V9_SPACE		 	mile	to	mile	mile to mile	NONE		 mile to mile	3	[" mile", " to", " mile"]	[10591, 284, 10591]	2	1	3	 mile	-0.01186	3.402695	3.414555	2659	3.303442	0.099253	3.402695	3	 mile	2659	3.303442	0.099253	541	1	3.402695	0.099253	1	AFTER	connector substitution under exact repetition	after	KNOWN_REPEAT	HELDOUT_FAMILIAR	mile	road	candle	basket
