# generated_utc	2026-08-14T19:14:46+00:00
# script	probe_v11.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	650
case_id	branch	seed_id	variant	carrier_id	carrier	leading_prefix	first	connector	second	construction	continuation_id	continuation	string	n_tok	tokens	token_ids	pre_second_body_tokens	second_realised_tokens	completion_pos	completion_token	raw_pre_second_541	raw_completion_541	raw_completion_increment	raw_completion_best_other	raw_completion_best_other_value	raw_completion_margin	peak_541	peakpos_541	peak_token_541	best_other	best_other_peak	signed_541_margin	dest	retained_541	winner_peak	reported_delta	target_peaks_at_completion	baseline_variant	notes	native_connector	frame_class	source_provenance	known_member	related_member	arbitrary_a	arbitrary_b
FRAME_CROSS__AFTER_WAVE__KNOWN_ARBITRARY__V9_SPACE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_ARBITRARY	V9_SPACE		 	wave	after	window	wave after window	NONE		 wave after window	3	[" wave", " after", " window"]	[6769, 706, 4324]	2	1	3	 window	-0.063724	0.119652	0.183376	1790	2.688412	-2.56876	0.119652	3	 window	1888	3.616646	-3.496994	1888	0	3.616646	0.928234	1	KNOWN_REPEAT	known first plus arbitrary distinct second	after	ARBITRARY_DISTINCT	V9_ATTESTED	wave	tide	gravel	window
FRAME_CROSS__AFTER_WAVE__ARBITRARY_KNOWN__V9_SPACE__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_KNOWN	V9_SPACE		 	gravel	after	wave	gravel after wave	NONE		 gravel after wave	3	[" gravel", " after", " wave"]	[34375, 706, 6769]	2	1	3	 wave	-0.034682	-0.165813	-0.131131	1888	2.082401	-2.248214	-0.000102	0	<BOS>	1888	3.382354	-3.382456	1888	0	3.382354	0.879572	0	KNOWN_REPEAT	arbitrary first plus known second	after	ARBITRARY_DISTINCT	V9_ATTESTED	wave	tide	gravel	window
FRAME_CROSS__AFTER_WAVE__ARBITRARY_REPEAT__V9_SPACE__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_REPEAT	V9_SPACE		 	gravel	after	gravel	gravel after gravel	NONE		 gravel after gravel	3	[" gravel", " after", " gravel"]	[34375, 706, 34375]	2	1	3	 gravel	-0.034682	0.963328	0.99801	2566	2.17065	-1.207323	0.963328	3	 gravel	1888	3.382354	-2.419026	1888	0	3.382354	0.879572	1	KNOWN_REPEAT	predeclared arbitrary member repeated	after	NOVEL_REPEAT	V9_ATTESTED	wave	tide	gravel	window
FRAME_CROSS__AFTER_WAVE__ARBITRARY_DISTINCT__V9_SPACE__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_DISTINCT	V9_SPACE		 	gravel	after	window	gravel after window	NONE		 gravel after window	3	[" gravel", " after", " window"]	[34375, 706, 4324]	2	1	3	 window	-0.034682	0.237393	0.272075	1790	2.631827	-2.394434	0.237393	3	 window	1888	3.382354	-3.144961	1888	0	3.382354	0.750527	1	KNOWN_REPEAT	two predeclared arbitrary members	after	NOVEL_DISTINCT	V9_ATTESTED	wave	tide	gravel	window
FRAME_CROSS__AFTER_WAVE__KNOWN_NO_CONNECTOR__V9_SPACE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_NO_CONNECTOR	V9_SPACE		 	wave		wave	wave wave	NONE		 wave wave	2	[" wave", " wave"]	[6769, 6769]	1	1	2	 wave	-0.159092	-0.030135	0.128957	1691	2.373467	-2.403603	-0.000102	0	<BOS>	1888	3.616646	-3.616748	1888	0	3.616646	1.235777	0	KNOWN_REPEAT	known repetition with connector removed	after	NO_CONNECTOR	V9_ATTESTED	wave	tide	gravel	window
FRAME_CROSS__AFTER_WAVE__ARBITRARY_NO_CONNECTOR__V9_SPACE__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_NO_CONNECTOR	V9_SPACE		 	gravel		gravel	gravel gravel	NONE		 gravel gravel	2	[" gravel", " gravel"]	[34375, 34375]	1	1	2	 gravel	-0.136018	-0.132593	0.003426	1888	2.145577	-2.278169	-0.000102	0	<BOS>	1888	3.382354	-3.382456	1888	0	3.382354	0.879572	0	KNOWN_REPEAT	arbitrary repetition with connector removed	after	NO_CONNECTOR	V9_ATTESTED	wave	tide	gravel	window
FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__THE_PHRASE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_REPEAT	THE_PHRASE	the phrase 		wave	after	wave	wave after wave	NONE		the phrase wave after wave	5	["the", " phrase", " wave", " after", " wave"]	[1169, 9546, 6769, 706, 6769]	4	1	5	 wave	-0.059978	2.947399	3.007377	2566	2.364141	0.583258	2.947399	5	 wave	2073	3.233148	-0.285749	2073	0	3.233148	0.285749	1	KNOWN_REPEAT	known member repeated in native connector frame	after	KNOWN_REPEAT	V9_ATTESTED	wave	tide	gravel	window
FRAME_CROSS__AFTER_WAVE__KNOWN_RELATED__THE_PHRASE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_RELATED	THE_PHRASE	the phrase 		wave	after	tide	wave after tide	NONE		the phrase wave after tide	5	["the", " phrase", " wave", " after", " tide"]	[1169, 9546, 6769, 706, 20013]	4	1	5	 tide	-0.059978	1.152201	1.212179	1888	1.803566	-0.651365	1.152201	5	 tide	2073	3.233148	-2.080947	2073	0	3.233148	0.489397	1	KNOWN_REPEAT	known first plus related distinct second	after	RELATED_DISTINCT	V9_ATTESTED	wave	tide	gravel	window
FRAME_CROSS__AFTER_WAVE__KNOWN_ARBITRARY__THE_PHRASE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_ARBITRARY	THE_PHRASE	the phrase 		wave	after	window	wave after window	NONE		the phrase wave after window	5	["the", " phrase", " wave", " after", " window"]	[1169, 9546, 6769, 706, 4324]	4	1	5	 window	-0.059978	0.387228	0.447206	1790	2.507727	-2.120499	0.387228	5	 window	2073	3.233148	-2.84592	2073	0	3.233148	0.489397	1	KNOWN_REPEAT	known first plus arbitrary distinct second	after	ARBITRARY_DISTINCT	V9_ATTESTED	wave	tide	gravel	window
FRAME_CROSS__AFTER_WAVE__ARBITRARY_KNOWN__THE_PHRASE__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_KNOWN	THE_PHRASE	the phrase 		gravel	after	wave	gravel after wave	NONE		the phrase gravel after wave	5	["the", " phrase", " gravel", " after", " wave"]	[1169, 9546, 34375, 706, 6769]	4	1	5	 wave	-0.014591	-0.166331	-0.15174	1888	1.997018	-2.163348	-0.000102	0	<BOS>	2073	3.233148	-3.23325	2073	0	3.233148	0.489397	0	KNOWN_REPEAT	arbitrary first plus known second	after	ARBITRARY_DISTINCT	V9_ATTESTED	wave	tide	gravel	window
FRAME_CROSS__AFTER_WAVE__ARBITRARY_REPEAT__THE_PHRASE__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_REPEAT	THE_PHRASE	the phrase 		gravel	after	gravel	gravel after gravel	NONE		the phrase gravel after gravel	5	["the", " phrase", " gravel", " after", " gravel"]	[1169, 9546, 34375, 706, 34375]	4	1	5	 gravel	-0.014591	0.897067	0.911658	2566	2.078303	-1.181236	0.897067	5	 gravel	2073	3.233148	-2.336081	2073	0	3.233148	0.489397	1	KNOWN_REPEAT	predeclared arbitrary member repeated	after	NOVEL_REPEAT	V9_ATTESTED	wave	tide	gravel	window
FRAME_CROSS__AFTER_WAVE__ARBITRARY_DISTINCT__THE_PHRASE__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_DISTINCT	THE_PHRASE	the phrase 		gravel	after	window	gravel after window	NONE		the phrase gravel after window	5	["the", " phrase", " gravel", " after", " window"]	[1169, 9546, 34375, 706, 4324]	4	1	5	 window	-0.014591	0.530718	0.545309	1790	2.378442	-1.847724	0.530718	5	 window	2073	3.233148	-2.70243	2073	0	3.233148	0.489397	1	KNOWN_REPEAT	two predeclared arbitrary members	after	NOVEL_DISTINCT	V9_ATTESTED	wave	tide	gravel	window
FRAME_CROSS__AFTER_WAVE__KNOWN_NO_CONNECTOR__THE_PHRASE__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_NO_CONNECTOR	THE_PHRASE	the phrase 		wave		wave	wave wave	NONE		the phrase wave wave	4	["the", " phrase", " wave", " wave"]	[1169, 9546, 6769, 6769]	3	1	4	 wave	-0.0408	-0.121212	-0.080412	2566	1.655087	-1.776299	-0.000102	0	<BOS>	2073	3.233148	-3.23325	2073	0	3.233148	0.489397	0	KNOWN_REPEAT	known repetition with connector removed	after	NO_CONNECTOR	V9_ATTESTED	wave	tide	gravel	window
FRAME_CROSS__AFTER_WAVE__ARBITRARY_NO_CONNECTOR__THE_PHRASE__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_NO_CONNECTOR	THE_PHRASE	the phrase 		gravel		gravel	gravel gravel	NONE		the phrase gravel gravel	4	["the", " phrase", " gravel", " gravel"]	[1169, 9546, 34375, 34375]	3	1	4	 gravel	-0.028257	-0.086408	-0.05815	1888	1.536837	-1.623244	-0.000102	0	<BOS>	2073	3.233148	-3.23325	2073	0	3.233148	0.489397	0	KNOWN_REPEAT	arbitrary repetition with connector removed	after	NO_CONNECTOR	V9_ATTESTED	wave	tide	gravel	window
FRAME_CROSS__AFTER_WAVE__KNOWN_REPEAT__THEY_SAID__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_REPEAT	THEY_SAID	they said 		wave	after	wave	wave after wave	NONE		they said wave after wave	5	["they", " said", " wave", " after", " wave"]	[9930, 531, 6769, 706, 6769]	4	1	5	 wave	-0.042599	3.694832	3.737431	2659	2.700705	0.994127	3.694832	5	 wave	419	2.797754	0.897078	541	1	3.694832	0.897078	1	KNOWN_REPEAT	known member repeated in native connector frame	after	KNOWN_REPEAT	V9_ATTESTED	wave	tide	gravel	window
FRAME_CROSS__AFTER_WAVE__KNOWN_RELATED__THEY_SAID__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_RELATED	THEY_SAID	they said 		wave	after	tide	wave after tide	NONE		they said wave after tide	5	["they", " said", " wave", " after", " tide"]	[9930, 531, 6769, 706, 20013]	4	1	5	 tide	-0.042599	1.594624	1.637224	1888	1.734389	-0.139765	1.594624	5	 tide	419	2.797754	-1.203129	419	0	2.797754	0.436884	1	KNOWN_REPEAT	known first plus related distinct second	after	RELATED_DISTINCT	V9_ATTESTED	wave	tide	gravel	window
FRAME_CROSS__AFTER_WAVE__KNOWN_ARBITRARY__THEY_SAID__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_ARBITRARY	THEY_SAID	they said 		wave	after	window	wave after window	NONE		they said wave after window	5	["they", " said", " wave", " after", " window"]	[9930, 531, 6769, 706, 4324]	4	1	5	 window	-0.042599	0.162927	0.205526	1790	2.580177	-2.417249	0.162927	5	 window	419	2.797754	-2.634826	419	0	2.797754	0.217577	1	KNOWN_REPEAT	known first plus arbitrary distinct second	after	ARBITRARY_DISTINCT	V9_ATTESTED	wave	tide	gravel	window
FRAME_CROSS__AFTER_WAVE__ARBITRARY_KNOWN__THEY_SAID__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_KNOWN	THEY_SAID	they said 		gravel	after	wave	gravel after wave	NONE		they said gravel after wave	5	["they", " said", " gravel", " after", " wave"]	[9930, 531, 34375, 706, 6769]	4	1	5	 wave	-0.007959	-0.169729	-0.16177	1888	1.998855	-2.168584	-0.000102	0	<BOS>	2256	2.36087	-2.360972	2256	0	2.36087	0.053377	0	KNOWN_REPEAT	arbitrary first plus known second	after	ARBITRARY_DISTINCT	V9_ATTESTED	wave	tide	gravel	window
FRAME_CROSS__AFTER_WAVE__ARBITRARY_REPEAT__THEY_SAID__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_REPEAT	THEY_SAID	they said 		gravel	after	gravel	gravel after gravel	NONE		they said gravel after gravel	5	["they", " said", " gravel", " after", " gravel"]	[9930, 531, 34375, 706, 34375]	4	1	5	 gravel	-0.007959	1.213353	1.221312	2566	2.464179	-1.250825	1.213353	5	 gravel	2566	2.464179	-1.250825	2566	0	2.464179	0.103309	1	KNOWN_REPEAT	predeclared arbitrary member repeated	after	NOVEL_REPEAT	V9_ATTESTED	wave	tide	gravel	window
FRAME_CROSS__AFTER_WAVE__ARBITRARY_DISTINCT__THEY_SAID__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_DISTINCT	THEY_SAID	they said 		gravel	after	window	gravel after window	NONE		they said gravel after window	5	["they", " said", " gravel", " after", " window"]	[9930, 531, 34375, 706, 4324]	4	1	5	 window	-0.007959	0.167326	0.175285	1790	2.594631	-2.427305	0.167326	5	 window	1790	2.594631	-2.427305	1790	0	2.594631	0.233761	1	KNOWN_REPEAT	two predeclared arbitrary members	after	NOVEL_DISTINCT	V9_ATTESTED	wave	tide	gravel	window
FRAME_CROSS__AFTER_WAVE__KNOWN_NO_CONNECTOR__THEY_SAID__NONE	FRAME_CROSS	AFTER_WAVE	KNOWN_NO_CONNECTOR	THEY_SAID	they said 		wave		wave	wave wave	NONE		they said wave wave	4	["they", " said", " wave", " wave"]	[9930, 531, 6769, 6769]	3	1	4	 wave	-0.117601	-0.02669	0.090911	2566	2.241926	-2.268617	-0.000102	0	<BOS>	2256	2.36087	-2.360972	2256	0	2.36087	0.053377	0	KNOWN_REPEAT	known repetition with connector removed	after	NO_CONNECTOR	V9_ATTESTED	wave	tide	gravel	window
FRAME_CROSS__AFTER_WAVE__ARBITRARY_NO_CONNECTOR__THEY_SAID__NONE	FRAME_CROSS	AFTER_WAVE	ARBITRARY_NO_CONNECTOR	THEY_SAID	they said 		gravel		gravel	gravel gravel	NONE		they said gravel gravel	4	["they", " said", " gravel", " gravel"]	[9930, 531, 34375, 34375]	3	1	4	 gravel	-0.035595	-0.062776	-0.027181	698	2.141805	-2.204581	-0.000102	0	<BOS>	2256	2.36087	-2.360972	2256	0	2.36087	0.053377	0	KNOWN_REPEAT	arbitrary repetition with connector removed	after	NO_CONNECTOR	V9_ATTESTED	wave	tide	gravel	window
REPEAT_CONNECTOR__AFTER_WAVE__AND__BARE__NONE	REPEAT_CONNECTOR	AFTER_WAVE	AND	BARE			wave	and	wave	wave and wave	NONE		wave and wave	3	["wave", " and", " wave"]	[19204, 290, 6769]	2	1	3	 wave	-0.014843	3.259372	3.274215	2659	4.009027	-0.749656	3.259372	3	 wave	2659	4.009027	-0.749656	2659	0	4.009027	0.749656	1	AFTER	connector substitution under exact repetition	after	KNOWN_REPEAT	V9_ATTESTED	wave	tide	gravel	window
REPEAT_CONNECTOR__AFTER_WAVE__OR__BARE__NONE	REPEAT_CONNECTOR	AFTER_WAVE	OR	BARE			wave	or	wave	wave or wave	NONE		wave or wave	3	["wave", " or", " wave"]	[19204, 393, 6769]	2	1	3	 wave	-0.003677	2.934776	2.938452	2659	3.777191	-0.842415	2.934776	3	 wave	2659	3.777191	-0.842415	2659	0	3.777191	0.545745	1	AFTER	connector substitution under exact repetition	after	KNOWN_REPEAT	V9_ATTESTED	wave	tide	gravel	window
