# generated_utc	2026-08-15T01:16:05+00:00
# script	probe_v14.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	2400
case_id	branch	family	treatment	direction	rank	token_id	token	delta_logit
P_IT_WAS_COLD	PRE_ADJECTIVE_STEERING	COLD_TARGET	SET_0_38	PROMOTED	1	35407	Reviewer	4.156433
P_IT_WAS_COLD	PRE_ADJECTIVE_STEERING	COLD_TARGET	SET_0_38	PROMOTED	2	41868	 Cosponsors	4.080894
P_IT_WAS_COLD	PRE_ADJECTIVE_STEERING	COLD_TARGET	SET_0_38	PROMOTED	3	18945	 teasp	4.006241
P_IT_WAS_COLD	PRE_ADJECTIVE_STEERING	COLD_TARGET	SET_0_38	PROMOTED	4	21470	alyst	3.995346
P_IT_WAS_COLD	PRE_ADJECTIVE_STEERING	COLD_TARGET	SET_0_38	PROMOTED	5	181	�	3.994583
P_IT_WAS_COLD	PRE_ADJECTIVE_STEERING	COLD_TARGET	SET_0_38	PROMOTED	6	205		3.994476
P_IT_WAS_COLD	PRE_ADJECTIVE_STEERING	COLD_TARGET	SET_0_38	PROMOTED	7	187	�	3.991272
P_IT_WAS_COLD	PRE_ADJECTIVE_STEERING	COLD_TARGET	SET_0_38	PROMOTED	8	15239	agonist	3.990494
P_IT_WAS_COLD	PRE_ADJECTIVE_STEERING	COLD_TARGET	SET_0_38	PROMOTED	9	215		3.989899
P_IT_WAS_COLD	PRE_ADJECTIVE_STEERING	COLD_TARGET	SET_0_38	PROMOTED	10	190		3.989609
P_IT_WAS_COLD	PRE_ADJECTIVE_STEERING	COLD_TARGET	SET_0_38	SUPPRESSED	1	23608	 autumn	2.189476
P_IT_WAS_COLD	PRE_ADJECTIVE_STEERING	COLD_TARGET	SET_0_38	SUPPRESSED	2	46166	 dusk	2.287872
P_IT_WAS_COLD	PRE_ADJECTIVE_STEERING	COLD_TARGET	SET_0_38	SUPPRESSED	3	2901	 July	2.305199
P_IT_WAS_COLD	PRE_ADJECTIVE_STEERING	COLD_TARGET	SET_0_38	SUPPRESSED	4	2932	 August	2.316521
P_IT_WAS_COLD	PRE_ADJECTIVE_STEERING	COLD_TARGET	SET_0_38	SUPPRESSED	5	40048	 sunrise	2.329681
P_IT_WAS_COLD	PRE_ADJECTIVE_STEERING	COLD_TARGET	SET_0_38	SUPPRESSED	6	3389	 November	2.34256
