# generated_utc	2026-08-15T00:50:25+00:00
# script	probe_v13.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	7320
case_id	branch	family	treatment	direction	rank	token_id	token	delta_logit
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	SCALE_075_38	PROMOTED	1	42052	 consultations	0.572212
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	SCALE_075_38	PROMOTED	2	10298	senal	0.563736
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	SCALE_075_38	PROMOTED	3	15755	 millenn	0.562042
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	SCALE_075_38	PROMOTED	4	9984	 discussions	0.553879
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	SCALE_075_38	PROMOTED	5	48416	 shenan	0.543373
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	SCALE_075_38	PROMOTED	6	40588	 engagements	0.539879
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	SCALE_075_38	PROMOTED	7	19896	 starters	0.534592
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	SCALE_075_38	PROMOTED	8	35551	 demos	0.529419
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	SCALE_075_38	PROMOTED	9	16277	 predictions	0.529015
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	SCALE_075_38	PROMOTED	10	40571	 Kik	0.528259
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	SCALE_075_38	SUPPRESSED	1	33663	lein	-0.022354
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	SCALE_075_38	SUPPRESSED	2	26625	 softly	0.028458
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	SCALE_075_38	SUPPRESSED	3	8892	leep	0.044449
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	SCALE_075_38	SUPPRESSED	4	15376	 lightly	0.053947
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	SCALE_075_38	SUPPRESSED	5	1732	lement	0.055023
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	SCALE_075_38	SUPPRESSED	6	36195	lif	0.055183
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	SCALE_075_38	SUPPRESSED	7	23778	hao	0.055206
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	SCALE_075_38	SUPPRESSED	8	38246	slow	0.059563
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	SCALE_075_38	SUPPRESSED	9	5965	rors	0.060852
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	SCALE_075_38	SUPPRESSED	10	16965	 overhead	0.062469
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	SCALE_050_38	PROMOTED	1	42052	 consultations	1.134239
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	SCALE_050_38	PROMOTED	2	10298	senal	1.130981
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	SCALE_050_38	PROMOTED	3	15755	 millenn	1.106415
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	SCALE_050_38	PROMOTED	4	9984	 discussions	1.095215
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	SCALE_050_38	PROMOTED	5	48416	 shenan	1.076363
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	SCALE_050_38	PROMOTED	6	19896	 starters	1.069138
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	SCALE_050_38	PROMOTED	7	40588	 engagements	1.068619
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	SCALE_050_38	PROMOTED	8	40571	 Kik	1.055222
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	SCALE_050_38	PROMOTED	9	16277	 predictions	1.051369
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	SCALE_050_38	PROMOTED	10	35551	 demos	1.049225
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	SCALE_050_38	SUPPRESSED	1	33663	lein	-0.068901
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	SCALE_050_38	SUPPRESSED	2	26625	 softly	0.028282
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	SCALE_050_38	SUPPRESSED	3	8892	leep	0.076317
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	SCALE_050_38	SUPPRESSED	4	1732	lement	0.077751
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	SCALE_050_38	SUPPRESSED	5	15376	 lightly	0.078133
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	SCALE_050_38	SUPPRESSED	6	23778	hao	0.088371
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	SCALE_050_38	SUPPRESSED	7	36368	enance	0.091606
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	SCALE_050_38	SUPPRESSED	8	16965	 overhead	0.091866
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	SCALE_050_38	SUPPRESSED	9	36195	lif	0.09285
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	SCALE_050_38	SUPPRESSED	10	38246	slow	0.095039
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	SCALE_025_38	PROMOTED	1	10298	senal	1.696442
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	SCALE_025_38	PROMOTED	2	42052	 consultations	1.679176
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	SCALE_025_38	PROMOTED	3	15755	 millenn	1.623779
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	SCALE_025_38	PROMOTED	4	9984	 discussions	1.617561
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	SCALE_025_38	PROMOTED	5	19896	 starters	1.598595
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	SCALE_025_38	PROMOTED	6	48416	 shenan	1.592865
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	SCALE_025_38	PROMOTED	7	40588	 engagements	1.579163
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	SCALE_025_38	PROMOTED	8	40571	 Kik	1.577675
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	SCALE_025_38	PROMOTED	9	35407	Reviewer	1.571548
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	SCALE_025_38	PROMOTED	10	16277	 predictions	1.561333
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	SCALE_025_38	SUPPRESSED	1	33663	lein	-0.141502
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	SCALE_025_38	SUPPRESSED	2	26625	 softly	-0.004066
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	SCALE_025_38	SUPPRESSED	3	1732	lement	0.067322
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	SCALE_025_38	SUPPRESSED	4	15376	 lightly	0.069061
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	SCALE_025_38	SUPPRESSED	5	36368	enance	0.07621
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	SCALE_025_38	SUPPRESSED	6	16965	 overhead	0.085167
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	SCALE_025_38	SUPPRESSED	7	8892	leep	0.095558
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	SCALE_025_38	SUPPRESSED	8	23778	hao	0.09726
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	SCALE_025_38	SUPPRESSED	9	38246	slow	0.103477
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	SCALE_025_38	SUPPRESSED	10	42200	behind	0.106499
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	ZERO_38	PROMOTED	1	10298	senal	2.25827
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	ZERO_38	PROMOTED	2	42052	 consultations	2.203499
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	ZERO_38	PROMOTED	3	19896	 starters	2.121292
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	ZERO_38	PROMOTED	4	9984	 discussions	2.117775
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	ZERO_38	PROMOTED	5	15755	 millenn	2.108353
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	ZERO_38	PROMOTED	6	35407	Reviewer	2.098763
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	ZERO_38	PROMOTED	7	40571	 Kik	2.094437
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	ZERO_38	PROMOTED	8	48416	 shenan	2.090645
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	ZERO_38	PROMOTED	9	40588	 engagements	2.068024
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	ZERO_38	PROMOTED	10	16277	 predictions	2.056358
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	ZERO_38	SUPPRESSED	1	33663	lein	-0.238609
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	ZERO_38	SUPPRESSED	2	26625	 softly	-0.068451
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	ZERO_38	SUPPRESSED	3	36368	enance	0.019974
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	ZERO_38	SUPPRESSED	4	1732	lement	0.026718
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	ZERO_38	SUPPRESSED	5	15376	 lightly	0.026741
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	ZERO_38	SUPPRESSED	6	16965	 overhead	0.042885
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	ZERO_38	SUPPRESSED	7	42200	behind	0.071548
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	ZERO_38	SUPPRESSED	8	23778	hao	0.083099
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	ZERO_38	SUPPRESSED	9	6364	 slowly	0.085007
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	ZERO_38	SUPPRESSED	10	38246	slow	0.085587
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	PREVIOUS_ZERO_38	PROMOTED	1	10298	senal	1.450584
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	PREVIOUS_ZERO_38	PROMOTED	2	14341	PDATE	1.406639
N_IT_WAS_COLD	NATURAL_ABLATION	COLD_EXACT	PREVIOUS_ZERO_38	PROMOTED	3	33434	��士	1.396576
