# generated_utc	2026-08-15T00:50:25+00:00
# script	probe_v13.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	30
case_id	branch	contrast	team_treatment	single_treatments	team_outcome_logprob_change	single_effect_sum	interaction_residual	caveat
P_AIR_IS_COLD	PRE_ADJECTIVE_STEERING	TEAM_MINUS_SUM_OF_SINGLE_ADDITIONS	ADD_POS_HIGH_TEAM	["ADD_POS_HIGH_38", "ADD_POS_HIGH_1103", "ADD_POS_HIGH_2094"]	0.448541879654	0.455924510956	-0.007382631302	descriptive non-additivity; downstream network and log-probability scale are nonlinear
P_AIR_IS_HOT	PRE_ADJECTIVE_STEERING	TEAM_MINUS_SUM_OF_SINGLE_ADDITIONS	ADD_POS_HIGH_TEAM	["ADD_POS_HIGH_38", "ADD_POS_HIGH_1103", "ADD_POS_HIGH_2094"]	0.131059885025	0.170020580291	-0.038960695266	descriptive non-additivity; downstream network and log-probability scale are nonlinear
P_IT_WAS_COLD	PRE_ADJECTIVE_STEERING	TEAM_MINUS_SUM_OF_SINGLE_ADDITIONS	ADD_POS_HIGH_TEAM	["ADD_POS_HIGH_38", "ADD_POS_HIGH_1103", "ADD_POS_HIGH_2094"]	1.187792301178	1.291907787323	-0.104115486145	descriptive non-additivity; downstream network and log-probability scale are nonlinear
P_IT_WAS_WARM	PRE_ADJECTIVE_STEERING	TEAM_MINUS_SUM_OF_SINGLE_ADDITIONS	ADD_POS_HIGH_TEAM	["ADD_POS_HIGH_38", "ADD_POS_HIGH_1103", "ADD_POS_HIGH_2094"]	1.003572940826	1.073486328125	-0.069913387299	descriptive non-additivity; downstream network and log-probability scale are nonlinear
P_ROOM_WAS_COLD	PRE_ADJECTIVE_STEERING	TEAM_MINUS_SUM_OF_SINGLE_ADDITIONS	ADD_POS_HIGH_TEAM	["ADD_POS_HIGH_38", "ADD_POS_HIGH_1103", "ADD_POS_HIGH_2094"]	0.90588760376	0.99444770813	-0.08856010437	descriptive non-additivity; downstream network and log-probability scale are nonlinear
P_ROOM_WAS_DARK	PRE_ADJECTIVE_STEERING	TEAM_MINUS_SUM_OF_SINGLE_ADDITIONS	ADD_POS_HIGH_TEAM	["ADD_POS_HIGH_38", "ADD_POS_HIGH_1103", "ADD_POS_HIGH_2094"]	0.624164581299	0.712114334107	-0.087949752808	descriptive non-additivity; downstream network and log-probability scale are nonlinear
P_SEASON_IS_COLD	PRE_ADJECTIVE_STEERING	TEAM_MINUS_SUM_OF_SINGLE_ADDITIONS	ADD_POS_HIGH_TEAM	["ADD_POS_HIGH_38", "ADD_POS_HIGH_1103", "ADD_POS_HIGH_2094"]	1.007146835327	1.097142219543	-0.089995384216	descriptive non-additivity; downstream network and log-probability scale are nonlinear
P_SEASON_IS_WARM	PRE_ADJECTIVE_STEERING	TEAM_MINUS_SUM_OF_SINGLE_ADDITIONS	ADD_POS_HIGH_TEAM	["ADD_POS_HIGH_38", "ADD_POS_HIGH_1103", "ADD_POS_HIGH_2094"]	0.734304428101	0.781910896301	-0.0476064682	descriptive non-additivity; downstream network and log-probability scale are nonlinear
P_SKIN_FELT_COLD	PRE_ADJECTIVE_STEERING	TEAM_MINUS_SUM_OF_SINGLE_ADDITIONS	ADD_POS_HIGH_TEAM	["ADD_POS_HIGH_38", "ADD_POS_HIGH_1103", "ADD_POS_HIGH_2094"]	0.589252233505	0.608767032624	-0.019514799119	descriptive non-additivity; downstream network and log-probability scale are nonlinear
P_VOICE_WAS_COLD	PRE_ADJECTIVE_STEERING	TEAM_MINUS_SUM_OF_SINGLE_ADDITIONS	ADD_POS_HIGH_TEAM	["ADD_POS_HIGH_38", "ADD_POS_HIGH_1103", "ADD_POS_HIGH_2094"]	0.580265522003	0.60734128952	-0.027075767517	descriptive non-additivity; downstream network and log-probability scale are nonlinear
P_WORLD_IS_COLD	PRE_ADJECTIVE_STEERING	TEAM_MINUS_SUM_OF_SINGLE_ADDITIONS	ADD_POS_HIGH_TEAM	["ADD_POS_HIGH_38", "ADD_POS_HIGH_1103", "ADD_POS_HIGH_2094"]	0.81325006485	0.815183162689	-0.001933097839	descriptive non-additivity; downstream network and log-probability scale are nonlinear
P_WORLD_IS_STRANGE	PRE_ADJECTIVE_STEERING	TEAM_MINUS_SUM_OF_SINGLE_ADDITIONS	ADD_POS_HIGH_TEAM	["ADD_POS_HIGH_38", "ADD_POS_HIGH_1103", "ADD_POS_HIGH_2094"]	0.81189250946	0.858563423157	-0.046670913697	descriptive non-additivity; downstream network and log-probability scale are nonlinear
