# generated_utc	2026-08-15T01:16:05+00:00
# script	probe_v14.py
# python	3.11.15
# torch	2.9.0+cu128
# transformers	4.57.1
# device	cuda:0
# gpu	NVIDIA GeForce RTX 5060 Laptop GPU
# revision	607a30d783dfa663caf39e06633721c8d4cfcd7e
# layer	5
# tf32_matmul	False
# tf32_cudnn	False
# theta_sha256	113687a222f8cf98039222c27b39aaf716493e5e8c1db94ea4e6544e0814088c
# n_rows	60
row_type	treatment	pair_id	prefix	cold_case_id	control_case_id	cold_outcome	control_outcome	final_38_activation	within_observed_natural_max	cold_logprob_change	control_logprob_change	cold_minus_control	mean_cold_minus_control	n_pairs
PAIR	SET_0_38	ROOM_WAS	The room was	P_ROOM_WAS_COLD	P_ROOM_WAS_DARK	 cold	 dark	0.0	1	-0.246550559998	-0.198790550232	-0.047760009766		
PAIR	SET_0_38	SEASON_IS	The season is	P_SEASON_IS_COLD	P_SEASON_IS_WARM	 cold	 warm	0.0	1	-0.313459873199	-0.185530185699	-0.1279296875		
PAIR	SET_0_38	WORLD_IS	The world is	P_WORLD_IS_COLD	P_WORLD_IS_STRANGE	 cold	 strange	0.0	1	-0.160113334656	-0.125597953796	-0.03451538086		
AGGREGATE	SET_0_38	ALL_DECLARED_PAIRS											-0.087042236328	5
PAIR	SET_HIGH_38	IT_WAS	It was	P_IT_WAS_COLD	P_IT_WAS_WARM	 cold	 warm	2.870399	1	0.241059780121	0.185007095337	0.056052684784		
PAIR	SET_HIGH_38	AIR_IS	The air is	P_AIR_IS_COLD	P_AIR_IS_HOT	 cold	 hot	2.870399	1	0.237248659134	0.086064577103	0.151184082031		
PAIR	SET_HIGH_38	ROOM_WAS	The room was	P_ROOM_WAS_COLD	P_ROOM_WAS_DARK	 cold	 dark	2.870399	1	0.538735389709	0.392724275589	0.14601111412		
PAIR	SET_HIGH_38	SEASON_IS	The season is	P_SEASON_IS_COLD	P_SEASON_IS_WARM	 cold	 warm	2.870399	1	0.450569629669	0.265266895294	0.185302734375		
PAIR	SET_HIGH_38	WORLD_IS	The world is	P_WORLD_IS_COLD	P_WORLD_IS_STRANGE	 cold	 strange	2.870399	1	0.541161060333	0.408631324768	0.132529735565		
AGGREGATE	SET_HIGH_38	ALL_DECLARED_PAIRS											0.134216070175	5
PAIR	SET_LOW_38	IT_WAS	It was	P_IT_WAS_COLD	P_IT_WAS_WARM	 cold	 warm	2.076799	1	0.015238285065	0.01168346405	0.003554821015		
PAIR	SET_LOW_38	AIR_IS	The air is	P_AIR_IS_COLD	P_AIR_IS_HOT	 cold	 hot	2.076799	1	0.137501239777	0.054256916046	0.083244323731		
PAIR	SET_LOW_38	ROOM_WAS	The room was	P_ROOM_WAS_COLD	P_ROOM_WAS_DARK	 cold	 dark	2.076799	1	0.345194816589	0.258616685867	0.086578130722		
PAIR	SET_LOW_38	SEASON_IS	The season is	P_SEASON_IS_COLD	P_SEASON_IS_WARM	 cold	 warm	2.076799	1	0.239346504211	0.14089679718	0.098449707031		
PAIR	SET_LOW_38	WORLD_IS	The world is	P_WORLD_IS_COLD	P_WORLD_IS_STRANGE	 cold	 strange	2.076799	1	0.343020439148	0.262026786804	0.080993652344		
AGGREGATE	SET_LOW_38	ALL_DECLARED_PAIRS											0.070564126969	5
